struct_id	relationship_name	orphanet_id	dise_name	dise_type	drug_name
610	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	chlorotrianisene
610	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	chlorotrianisene
610	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	chlorotrianisene
610	contraindication	79211	Combined hyperlipidemia	rare_genetic	chlorotrianisene
610	contraindication	101953	Rare dyslipidemia	rare_genetic	chlorotrianisene
818	contraindication	181425	Major hypertriglyceridemia	rare_genetic	desogestrel
818	contraindication	181422	Rare hyperlipidemia	rare_genetic	desogestrel
818	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	desogestrel
818	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	desogestrel
818	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	desogestrel
818	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	desogestrel
818	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	desogestrel
818	contraindication	79211	Combined hyperlipidemia	rare_genetic	desogestrel
818	contraindication	101953	Rare dyslipidemia	rare_genetic	desogestrel
1572	contraindication	181425	Major hypertriglyceridemia	rare_genetic	levonorgestrel
1572	contraindication	181422	Rare hyperlipidemia	rare_genetic	levonorgestrel
1572	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	levonorgestrel
1572	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	levonorgestrel
1572	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	levonorgestrel
1572	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	levonorgestrel
1572	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	levonorgestrel
1572	contraindication	79211	Combined hyperlipidemia	rare_genetic	levonorgestrel
1572	contraindication	101953	Rare dyslipidemia	rare_genetic	levonorgestrel
594	contraindication	181425	Major hypertriglyceridemia	rare_genetic	chlordiazepoxide
594	contraindication	181422	Rare hyperlipidemia	rare_genetic	chlordiazepoxide
594	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	chlordiazepoxide
594	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	chlordiazepoxide
594	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	chlordiazepoxide
594	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	chlordiazepoxide
594	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	chlordiazepoxide
594	contraindication	79211	Combined hyperlipidemia	rare_genetic	chlordiazepoxide
594	contraindication	101953	Rare dyslipidemia	rare_genetic	chlordiazepoxide
1059	contraindication	181425	Major hypertriglyceridemia	rare_genetic	estradiol cypionate
1059	contraindication	181422	Rare hyperlipidemia	rare_genetic	estradiol cypionate
1059	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	estradiol cypionate
1059	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	estradiol cypionate
1059	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	estradiol cypionate
1059	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	estradiol cypionate
1059	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	estradiol cypionate
1059	contraindication	79211	Combined hyperlipidemia	rare_genetic	estradiol cypionate
1059	contraindication	101953	Rare dyslipidemia	rare_genetic	estradiol cypionate
1704	contraindication	181425	Major hypertriglyceridemia	rare_genetic	meprobamate
1704	contraindication	181422	Rare hyperlipidemia	rare_genetic	meprobamate
1704	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	meprobamate
1704	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	meprobamate
1704	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	meprobamate
1704	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	meprobamate
1704	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	meprobamate
1704	contraindication	79211	Combined hyperlipidemia	rare_genetic	meprobamate
1704	contraindication	101953	Rare dyslipidemia	rare_genetic	meprobamate
968	contraindication	181425	Major hypertriglyceridemia	rare_genetic	drospirenone
968	contraindication	181422	Rare hyperlipidemia	rare_genetic	drospirenone
968	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	drospirenone
968	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	drospirenone
968	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	drospirenone
968	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	drospirenone
968	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	drospirenone
968	contraindication	79211	Combined hyperlipidemia	rare_genetic	drospirenone
968	contraindication	101953	Rare dyslipidemia	rare_genetic	drospirenone
3356	contraindication	181425	Major hypertriglyceridemia	rare_genetic	methyltestosterone
3356	contraindication	181422	Rare hyperlipidemia	rare_genetic	methyltestosterone
3356	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	methyltestosterone
3356	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	methyltestosterone
3356	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	methyltestosterone
3356	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	methyltestosterone
3356	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	methyltestosterone
3356	contraindication	79211	Combined hyperlipidemia	rare_genetic	methyltestosterone
3356	contraindication	101953	Rare dyslipidemia	rare_genetic	methyltestosterone
4621	contraindication	181425	Major hypertriglyceridemia	rare_genetic	levomefolic acid
4621	contraindication	181422	Rare hyperlipidemia	rare_genetic	levomefolic acid
4621	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	levomefolic acid
4621	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	levomefolic acid
4621	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	levomefolic acid
4621	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	levomefolic acid
4621	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	levomefolic acid
4621	contraindication	79211	Combined hyperlipidemia	rare_genetic	levomefolic acid
4621	contraindication	101953	Rare dyslipidemia	rare_genetic	levomefolic acid
2031	contraindication	181425	Major hypertriglyceridemia	rare_genetic	oxymesterone
2031	contraindication	181422	Rare hyperlipidemia	rare_genetic	oxymesterone
2031	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	oxymesterone
2031	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	oxymesterone
2031	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	oxymesterone
2031	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	oxymesterone
2031	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	oxymesterone
2031	contraindication	79211	Combined hyperlipidemia	rare_genetic	oxymesterone
2031	contraindication	101953	Rare dyslipidemia	rare_genetic	oxymesterone
1064	contraindication	181425	Major hypertriglyceridemia	rare_genetic	estradiol valerate
1064	contraindication	181422	Rare hyperlipidemia	rare_genetic	estradiol valerate
1064	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	estradiol valerate
1064	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	estradiol valerate
1064	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	estradiol valerate
1064	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	estradiol valerate
1064	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	estradiol valerate
1064	contraindication	79211	Combined hyperlipidemia	rare_genetic	estradiol valerate
1064	contraindication	101953	Rare dyslipidemia	rare_genetic	estradiol valerate
871	contraindication	181425	Major hypertriglyceridemia	rare_genetic	dienogest
871	contraindication	181422	Rare hyperlipidemia	rare_genetic	dienogest
871	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	dienogest
871	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	dienogest
871	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	dienogest
871	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	dienogest
871	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	dienogest
871	contraindication	79211	Combined hyperlipidemia	rare_genetic	dienogest
871	contraindication	101953	Rare dyslipidemia	rare_genetic	dienogest
2279	contraindication	181425	Major hypertriglyceridemia	rare_genetic	progesterone
2279	contraindication	181422	Rare hyperlipidemia	rare_genetic	progesterone
2279	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	progesterone
2279	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	progesterone
2279	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	progesterone
2279	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	progesterone
2279	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	progesterone
2279	contraindication	79211	Combined hyperlipidemia	rare_genetic	progesterone
2279	contraindication	101953	Rare dyslipidemia	rare_genetic	progesterone
1210	contraindication	181425	Major hypertriglyceridemia	rare_genetic	fluoxymesterone
1210	contraindication	181422	Rare hyperlipidemia	rare_genetic	fluoxymesterone
1210	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	fluoxymesterone
1210	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	fluoxymesterone
1210	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	fluoxymesterone
1210	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	fluoxymesterone
1210	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	fluoxymesterone
1210	contraindication	79211	Combined hyperlipidemia	rare_genetic	fluoxymesterone
1210	contraindication	101953	Rare dyslipidemia	rare_genetic	fluoxymesterone
1082	contraindication	181425	Major hypertriglyceridemia	rare_genetic	ethinylestradiol
1082	contraindication	181422	Rare hyperlipidemia	rare_genetic	ethinylestradiol
1082	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	ethinylestradiol
1082	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	ethinylestradiol
1082	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	ethinylestradiol
1082	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	ethinylestradiol
1082	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	ethinylestradiol
1082	contraindication	79211	Combined hyperlipidemia	rare_genetic	ethinylestradiol
1082	contraindication	101953	Rare dyslipidemia	rare_genetic	ethinylestradiol
4609	contraindication	181425	Major hypertriglyceridemia	rare_genetic	testosterone enantate
4609	contraindication	181422	Rare hyperlipidemia	rare_genetic	testosterone enantate
4609	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	testosterone enantate
4609	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	testosterone enantate
4609	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	testosterone enantate
4609	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	testosterone enantate
4609	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	testosterone enantate
4609	contraindication	79211	Combined hyperlipidemia	rare_genetic	testosterone enantate
4609	contraindication	101953	Rare dyslipidemia	rare_genetic	testosterone enantate
3188	contraindication	181425	Major hypertriglyceridemia	rare_genetic	estrone
3188	contraindication	181422	Rare hyperlipidemia	rare_genetic	estrone
3188	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	estrone
3188	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	estrone
3188	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	estrone
3188	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	estrone
3188	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	estrone
3188	contraindication	79211	Combined hyperlipidemia	rare_genetic	estrone
3188	contraindication	101953	Rare dyslipidemia	rare_genetic	estrone
1057	contraindication	181425	Major hypertriglyceridemia	rare_genetic	estradiol
1057	contraindication	181422	Rare hyperlipidemia	rare_genetic	estradiol
1057	contraindication	412	Hyperlipoproteinemia type 3	rare_genetic	estradiol
1057	contraindication	309015	Familial lipoprotein lipase deficiency	rare_genetic	estradiol
1057	contraindication	309020	Familial apolipoprotein C-II deficiency	rare_genetic	estradiol
1057	contraindication	444490	Familial chylomicronemia syndrome	rare_genetic	estradiol
1057	contraindication	70470	Hyperlipoproteinemia type 5	rare_genetic	estradiol
1057	contraindication	79211	Combined hyperlipidemia	rare_genetic	estradiol
1057	contraindication	101953	Rare dyslipidemia	rare_genetic	estradiol
5204	indication	209981	IRIDA syndrome	rare_genetic	ferumoxytol
5204	indication	54028	Plummer-Vinson syndrome	not_genetic	ferumoxytol
5204	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	ferumoxytol
5204	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	ferumoxytol
4443	indication	209981	IRIDA syndrome	rare_genetic	ferric oxide
4443	indication	54028	Plummer-Vinson syndrome	not_genetic	ferric oxide
4443	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	ferric oxide
4443	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	ferric oxide
4475	indication	209981	IRIDA syndrome	rare_genetic	iron pentacarbonyl
4475	indication	54028	Plummer-Vinson syndrome	not_genetic	iron pentacarbonyl
4475	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	iron pentacarbonyl
4475	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	iron pentacarbonyl
4261	indication	209981	IRIDA syndrome	rare_genetic	ferrous fumarate
4261	indication	54028	Plummer-Vinson syndrome	not_genetic	ferrous fumarate
4261	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	ferrous fumarate
4261	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	ferrous fumarate
4277	indication	209981	IRIDA syndrome	rare_genetic	iron
4277	indication	54028	Plummer-Vinson syndrome	not_genetic	iron
4277	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	iron
4277	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	iron
1231	indication	209981	IRIDA syndrome	rare_genetic	folic acid
1231	indication	54028	Plummer-Vinson syndrome	not_genetic	folic acid
1231	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	folic acid
1231	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	folic acid
941	indication	209981	IRIDA syndrome	rare_genetic	docusate sodium
941	indication	54028	Plummer-Vinson syndrome	not_genetic	docusate sodium
941	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	docusate sodium
941	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	docusate sodium
2081	contraindication	209981	IRIDA syndrome	rare_genetic	penicillamine
2081	contraindication	54028	Plummer-Vinson syndrome	not_genetic	penicillamine
2081	contraindication	83642	Microcytic anemia with liver iron overload	rare_genetic	penicillamine
2081	contraindication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	penicillamine
4491	indication	209981	IRIDA syndrome	rare_genetic	ferrous gluconate
4491	indication	54028	Plummer-Vinson syndrome	not_genetic	ferrous gluconate
4491	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	ferrous gluconate
4491	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	ferrous gluconate
4565	indication	209981	IRIDA syndrome	rare_genetic	hematin
4565	indication	54028	Plummer-Vinson syndrome	not_genetic	hematin
4565	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	hematin
4565	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	hematin
2487	indication	209981	IRIDA syndrome	rare_genetic	succinic acid
2487	indication	54028	Plummer-Vinson syndrome	not_genetic	succinic acid
2487	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	succinic acid
2487	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	succinic acid
4528	indication	209981	IRIDA syndrome	rare_genetic	ferrous sulfate
4528	indication	54028	Plummer-Vinson syndrome	not_genetic	ferrous sulfate
4528	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	ferrous sulfate
4528	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	ferrous sulfate
2738	contraindication	209981	IRIDA syndrome	rare_genetic	trientine
2738	contraindication	54028	Plummer-Vinson syndrome	not_genetic	trientine
2738	contraindication	83642	Microcytic anemia with liver iron overload	rare_genetic	trientine
2738	contraindication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	trientine
4196	indication	209981	IRIDA syndrome	rare_genetic	cyanocobalamin
4196	indication	54028	Plummer-Vinson syndrome	not_genetic	cyanocobalamin
4196	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	cyanocobalamin
4196	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	cyanocobalamin
5076	indication	209981	IRIDA syndrome	rare_genetic	ferric maltol
5076	indication	54028	Plummer-Vinson syndrome	not_genetic	ferric maltol
5076	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	ferric maltol
5076	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	ferric maltol
5128	indication	209981	IRIDA syndrome	rare_genetic	ferric carboxymaltose
5128	indication	54028	Plummer-Vinson syndrome	not_genetic	ferric carboxymaltose
5128	indication	83642	Microcytic anemia with liver iron overload	rare_genetic	ferric carboxymaltose
5128	indication	98360	Constitutional anemia due to iron metabolism disorder	rare_genetic	ferric carboxymaltose
5206	indication	183660	Severe combined immunodeficiency	rare_genetic	pegademase
5206	indication	277	Severe combined immunodeficiency due to adenosine deaminase deficiency	rare_genetic	pegademase
5206	indication	101972	Combined T and B cell immunodeficiency	rare_genetic	pegademase
5205	indication	33276	Kaposi sarcoma	not_genetic	interferon alfa-2b
960	indication	33276	Kaposi sarcoma	not_genetic	doxorubicin
5207	indication	70	Proximal spinal muscular atrophy	rare_genetic	nusinersen
5207	indication	1145	Infantile-onset X-linked spinal muscular atrophy	rare_genetic	nusinersen
5207	indication	140465	Autosomal dominant distal hereditary motor neuropathy	rare_genetic	nusinersen
5207	indication	276435	Lower motor neuron syndrome with late-adult onset	rare_genetic	nusinersen
5207	indication	209335	Adult-onset proximal spinal muscular atrophy, autosomal dominant	rare_genetic	nusinersen
5207	indication	209341	Autosomal dominant childhood-onset proximal spinal muscular atrophy without contractures	rare_genetic	nusinersen
5207	indication	211037	Autosomal dominant proximal spinal muscular atrophy	rare_genetic	nusinersen
5207	indication	363454	Autosomal dominant childhood-onset proximal spinal muscular atrophy with contractures	rare_genetic	nusinersen
5207	indication	363447	Autosomal dominant childhood-onset proximal spinal muscular atrophy	rare_genetic	nusinersen
5207	indication	431255	Scapuloperoneal spinal muscular atrophy	rare_genetic	nusinersen
5207	indication	83330	Proximal spinal muscular atrophy type 1	rare_genetic	nusinersen
5207	indication	83419	Proximal spinal muscular atrophy type 3	rare_genetic	nusinersen
5207	indication	83420	Proximal spinal muscular atrophy type 4	rare_genetic	nusinersen
5207	indication	83418	Proximal spinal muscular atrophy type 2	rare_genetic	nusinersen
5207	indication	85146	Neurogenic scapuloperoneal syndrome, Kaeser type	rare_genetic	nusinersen
5207	indication	97229	Riboflavin transporter deficiency	rare_genetic	nusinersen
5189	indication	169799	Mild hemophilia B	rare_genetic	albutrepenonacog alfa
5189	indication	169796	Moderately severe hemophilia B	rare_genetic	albutrepenonacog alfa
5189	indication	169793	Severe hemophilia B	rare_genetic	albutrepenonacog alfa
5189	indication	177929	Symptomatic form of hemophilia B in female carriers	rare_genetic	albutrepenonacog alfa
5189	indication	98879	Hemophilia B	rare_genetic	albutrepenonacog alfa
5084	indication	169799	Mild hemophilia B	rare_genetic	eftrenonacog alfa
5084	indication	169796	Moderately severe hemophilia B	rare_genetic	eftrenonacog alfa
5084	indication	169793	Severe hemophilia B	rare_genetic	eftrenonacog alfa
5084	indication	177929	Symptomatic form of hemophilia B in female carriers	rare_genetic	eftrenonacog alfa
5084	indication	98879	Hemophilia B	rare_genetic	eftrenonacog alfa
1240	contraindication	169799	Mild hemophilia B	rare_genetic	fosamprenavir
1240	contraindication	169796	Moderately severe hemophilia B	rare_genetic	fosamprenavir
1240	contraindication	169793	Severe hemophilia B	rare_genetic	fosamprenavir
1240	contraindication	177929	Symptomatic form of hemophilia B in female carriers	rare_genetic	fosamprenavir
1240	contraindication	98879	Hemophilia B	rare_genetic	fosamprenavir
2391	contraindication	169799	Mild hemophilia B	rare_genetic	ritonavir
2391	contraindication	169796	Moderately severe hemophilia B	rare_genetic	ritonavir
2391	contraindication	169793	Severe hemophilia B	rare_genetic	ritonavir
2391	contraindication	177929	Symptomatic form of hemophilia B in female carriers	rare_genetic	ritonavir
2391	contraindication	98879	Hemophilia B	rare_genetic	ritonavir
2422	contraindication	169799	Mild hemophilia B	rare_genetic	saquinavir
2422	contraindication	169796	Moderately severe hemophilia B	rare_genetic	saquinavir
2422	contraindication	169793	Severe hemophilia B	rare_genetic	saquinavir
2422	contraindication	177929	Symptomatic form of hemophilia B in female carriers	rare_genetic	saquinavir
2422	contraindication	98879	Hemophilia B	rare_genetic	saquinavir
200	contraindication	169799	Mild hemophilia B	rare_genetic	amprenavir
200	contraindication	169796	Moderately severe hemophilia B	rare_genetic	amprenavir
200	contraindication	169793	Severe hemophilia B	rare_genetic	amprenavir
