orphanet_id	dise_name
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181422	Rare hyperlipidemia
181399	Rare hyperthyroidism
181399	Rare hyperthyroidism
181399	Rare hyperthyroidism
181399	Rare hyperthyroidism
181399	Rare hyperthyroidism
181399	Rare hyperthyroidism
181399	Rare hyperthyroidism
181399	Rare hyperthyroidism
181415	Rare primary hyperaldosteronism
871	Familial progressive cardiac conduction defect
1699	Trisomy 12p
569	Familial or sporadic hemiplegic migraine
1308	C syndrome
27	Vitamin B12-unresponsive methylmalonic acidemia
956	Acro-pectoro-renal dysplasia
1702	Non-distal trisomy 13q
1745	Distal trisomy 6p
1948	Epilepsy-microcephaly-skeletal dysplasia syndrome
1946	Amelo-cerebro-hypohidrotic syndrome
381	Griscelli disease
156	Carnitine palmitoyl transferase 1A deficiency
1074	Ankyloblepharon filiforme-imperforate anus syndrome
1069	Aniridia-absent patella syndrome
1120	Lung agenesis-heart defect-thumb anomalies syndrome
1092	Renal-genital-middle ear anomalies
991	PAGOD syndrome
990	Agnathia-holoprosencephaly-situs inversus syndrome
994	Fetal akinesia deformation sequence
972	Hereditary continuous muscle fiber activity
973	Congenital absence/hypoplasia of fingers excluding thumb, unilateral
959	Acro-renal-ocular syndrome
139411	Carney triad
139431	Jeavons syndrome
1035	Encephalopathy due to beta-mercaptolactate-cysteine disulfiduria
139396	X-linked cerebral adrenoleukodystrophy
139406	Encephalopathy due to prosaposin deficiency
59	Allan-Herndon-Dudley syndrome
137622	Intractable diarrhea-choanal atresia-eye anomalies syndrome
137625	Glycogen storage disease due to muscle and heart glycogen synthase deficiency
137658	Microcephaly-intellectual disability-phalangeal and neurological anomalies syndrome
137653	Microcephaly-digital anomalies-intellectual disability syndrome
137672	Pellucid marginal degeneration
137667	Capillary malformation-arteriovenous malformation syndrome
137639	Leukoencephalopathy-ataxia-hypodontia-hypomyelination syndrome
137586	Herpes simplex virus keratitis
137586	Herpes simplex virus keratitis
1266	Dermato-cardio-skeletal syndrome, Borrone type
137814	Macular amyloidosis
137814	Macular amyloidosis
137871	Laminopathy type Decaudain-Vigouroux
137681	Hepatoencephalopathy due to combined oxidative phosphorylation deficiency type 1
1216	Autosomal dominant congenital benign spinal muscular atrophy
137898	Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome
137902	Isolated optic nerve hypoplasia
137908	Hypotonia with lactic acidemia and hyperammonemia
137932	Congenital laryngeal palsy
137935	Laryngotracheal angioma
1435	Choroideremia-deafness-obesity syndrome
141083	Nasolacrimal duct cyst
1416	Familial calcium pyrophosphate deposition
1396	Cerebro-reno-digital syndrome
141168	Frontonasal arteriovenous malformation
141171	Maxillary arteriovenous malformation
141174	Mandibular arteriovenous malformation
1375	Cataract-hypertrichosis-intellectual disability syndrome
1373	Cataract-aberrant oral frenula-growth delay syndrome
1390	Night blindness-skeletal anomalies-dysmorphism syndrome
157801	Mesoaxial synostotic syndactyly with phalangeal reduction
157801	Mesoaxial synostotic syndactyly with phalangeal reduction
1387	Cataract-intellectual disability-hypogonadism syndrome
157716	Late infantile CACH syndrome
157719	Juvenile or adult CACH syndrome
1381	Cataract-intellectual disability-anal atresia-urinary defects syndrome
157713	Congenital or early infantile CACH syndrome
157215	Hereditary hypophosphatemic rickets with hypercalciuria
1314	Symmetrical thalamic calcifications
1305	Feingold syndrome
1307	Distal limb deficiencies-micrognathia syndrome
1313	Infantile choroidocerebral calcification syndrome
1352	Atrioventricular defect-blepharophimosis-radial and anal defect syndrome
156230	Facial arteriovenous malformation
1683	Distichiasis-congenital heart defects-peripheral vascular anomalies syndrome
1682	Arterial dissection-lentiginosis syndrome
1765	Dyschondrosteosis-nephritis syndrome
1780	Thakker-Donnai syndrome
139441	Hypomyelination with atrophy of basal ganglia and cerebellum
139444	Leukoencephalopathy with bilateral anterior temporal lobe cysts
3196	Steroid dehydrogenase deficiency-dental anomalies syndrome
139447	Progressive cavitating leukoencephalopathy
139455	Autosomal recessive bestrophinopathy
1575	Infantile striatothalamic degeneration
1574	Retinal degeneration-nanophthalmos-glaucoma syndrome
1577	Infantile thalamic degeneration
139466	SERKAL syndrome
139474	17q11.2 microduplication syndrome
139507	African iron overload
139525	Distal hereditary motor neuropathy type 2
139518	Distal hereditary motor neuropathy type 1
139547	Distal spinal muscular atrophy type 3
139536	Distal hereditary motor neuropathy type 5
139557	X-linked distal spinal muscular atrophy type 3
139589	Distal hereditary motor neuropathy type 7
1548	Cryptorchidism-arachnodactyly-intellectual disability syndrome
140917	Stapes ankylosis with broad thumbs and toes
1547	Cryptomicrotia-brachydactyly-excess fingertip arch syndrome
140952	Syndactyly-telecanthus-anogenital and renal malformations syndrome
140957	Autosomal dominant macrothrombocytopenia
140949	Low-flow priapism
1555	Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome
140927	Benign familial neonatal-infantile seizures
140436	Primary intraosseous venous malformation
1495	Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome
140468	Autosomal recessive distal hereditary motor neuropathy
1521	Craniofrontonasal dysplasia-Poland anomaly syndrome
1970	Facial dysmorphism-macrocephaly-myopia-Dandy-Walker malformation syndrome
1972	Lethal faciocardiomelic dysplasia
1974	Autosomal recessive facio-digito-genital syndrome
1940	Shoulder and thorax deformity-congenital heart disease syndrome
1872	Cone rod dystrophy
1861	Thoracic dysplasia-hydrocephalus syndrome
1812	Ectodermal dysplasia-intellectual disability-central nervous system malformation syndrome
1806	Ectodermal dysplasia-blindness syndrome
2141	Diaphragmatic defect-limb deficiency-skull defect syndrome
2115	Harrod syndrome
2114	Hip dysplasia, Beukes type
2117	Hartsfield-Bixler-Demyer syndrome
2119	HEC syndrome
2090	GMS syndrome
2104	Dysmorphism-pectus carinatum-joint laxity syndrome
157962	Oculoauricular syndrome, Schorderet type
2077	German syndrome
2051	Fraser-like syndrome
2063	Splenogonadal fusion-limb defects-micrognathia syndrome
158796	Classic mast cell leukemia
158799	Aleukemic mast cell leukemia
2029	Multiple non-ossifying fibromatosis
2042	Tracheo-esophageal fistula-hypospadias syndrome
2003	Cleft lip/palate-deafness-sacral lipoma syndrome
2010	Cleft palate-stapes fixation-oligodontia syndrome
2008	Acro-cardio-facial syndrome
247775	Mayer-Rokitansky-Küster-Hauser syndrome type 1
247768	Müllerian aplasia and hyperandrogenism
2353	Schilbach-Rott syndrome
247790	FTH1-related iron overload
247685	Odontohypophosphatasia
247724	Idiopathic eosinophilic myositis
247718	Inflammatory myopathy with abundant macrophages
247585	Citrullinemia type II
247598	Neonatal intrahepatic cholestasis due to citrin deficiency
247623	Perinatal lethal hypophosphatasia
247638	Prenatal benign hypophosphatasia
247525	Citrullinemia type I
247546	Acute neonatal citrullinemia type I
247573	Adult-onset citrullinemia type I
2408	Lowe-Kohn-Cohen syndrome
247834	Occult macular dystrophy
247839	Oligoarticular juvenile idiopathic arthritis with anti-nuclear antibodies
2369	Limb body wall complex
2375	Laryngeal abductor paralysis-intellectual disability syndrome
247846	Oligoarticular juvenile idiopathic arthritis without anti-nuclear antibodies
2437	Czeizel-Losonci syndrome
243343	Dimethylglycine dehydrogenase deficiency
2429	Macrocephaly-spastic paraplegia-dysmorphism syndrome
2489	Upper limb defect-eye and ear abnormalities syndrome
247245	Superficial siderosis
2486	Transverse limb deficiency-hemangioma syndrome
247165	Infantile mercury poisoning
2172	Microcephaly-glomerulonephritis-marfanoid habitus syndrome
2176	Infantile systemic hyalinosis
2169	Methylcobalamin deficiency type cblE
1051	Ramos-Arroyo syndrome
251937	Gangliocytoma
2206	Ankylosing vertebral hyperostosis with tylosis
2215	Malignant hyperthermia-arthrogryposis-torticollis syndrome
251038	3q29 microduplication
2261	Hypospadias-intellectual disability, Goldblatt type syndrome
251076	8p23.1 duplication syndrome
2271	Congenital ichthyosis-microcephalus-tetraplegia syndrome
250831	Logopenic progressive aphasia
250994	1q21.1 microduplication syndrome
2250	Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome
250932	Autosomal dominant optic atrophy and peripheral neuropathy
2306	Isotretinoin-like syndrome
251380	Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome
251355	Sickle cell disease associated with an other hemoglobin anomaly
251295	Pigmented paravenous retinochoroidal atrophy
2282	Dysmorphism-short stature-deafness-disorder of sex development syndrome
251274	Familial hyperaldosteronism type III
251262	Familial osteochondritis dissecans
251304	Infantile onset panniculitis with uveitis and systemic granulomatosis
2676	Neuroectodermal-endocrine syndrome
254930	Combined oxidative phosphorylation defect type 7
254925	Combined oxidative phosphorylation defect type 4
254920	Combined oxidative phosphorylation defect type 2
254913	Isolated ATP synthase deficiency
255117	Autosomal dominant optic atrophy and late-onset deafness
254886	Autosomal recessive progressive external ophthalmoplegia
254905	Isolated cytochrome C oxidase deficiency
254902	Renal tubulopathy-encephalopathy-liver failure syndrome
254898	Deafness-encephaloneuropathy-obesity-valvulopathy syndrome
254892	Autosomal dominant progressive external ophthalmoplegia
255235	Mitochondrial DNA depletion syndrome, encephalomyopathic form with renal tubulopathy
255241	Leigh syndrome with leukodystrophy
255249	Leigh syndrome with nephrotic syndrome
2741	Ophthalmomandibulomelic dysplasia
2796	Pachydermoperiostosis
254749	Tricarboxylic acid cycle disorder
2498	Syndactyly type 8
2511	Microbrachycephaly-ptosis-cleft lip syndrome
2508	Microcephaly-corpus callosum agenesis-abnormal genitalia syndrome
2518	Autosomal recessive chorioretinopathy-microcephaly syndrome
2523	Microcephaly-brain defect-spasticity-hypernatremia syndrome
2533	Microcephaly-deafness-intellectual disability syndrome
2585	Ataxia-pancytopenia syndrome
261102	Distal 7q11.23 microduplication syndrome
261243	16p13.11 microduplication syndrome
261229	14q11.2 microduplication syndrome
261204	16p11.2p12.2 microduplication syndrome
261272	17q12 microduplication syndrome
261337	Distal 22q11.2 microduplication syndrome
261494	Kleefstra syndrome
261501	Atypical Norrie disease due to monosomy Xp11.3
261638	Okihiro syndrome due to 20q13 microdeletion
261647	Okihiro syndrome due to a point mutation
261652	Kleefstra syndrome due to a point mutation
3062	X-linked intellectual disability, Schutz type
3059	X-linked intellectual disability, Gu type
3056	X-linked intellectual disability, Brooks type
3055	X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome
3052	X-linked intellectual disability-seizures-psoriasis syndrome
3047	Blepharophimosis-intellectual disability syndrome, SBBYS type
3044	Intellectual disability-dysmorphism-hypogonadism-diabetes mellitus syndrome
3042	Intellectual disability-cataracts-calcified pinnae-myopathy syndrome
263665	NK-cell enteropathy
3035	Growth delay-hydrocephaly-lung hypoplasia syndrome
263516	Progressive myoclonic epilepsy type 3
263524	Acute necrotizing encephalopathy of childhood
263417	Bartter syndrome with hypocalcemia
263297	Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency
2985	Pseudoprogeria syndrome
2989	Familial pterygium of the conjunctiva
3145	Nephrogenic diabetes insipidus-intracranial calcification syndrome
3118	Rudiger syndrome
262860	Partial duplication of the long arm of chromosome 4
3109	Mayer-Rokitansky-Küster-Hauser syndrome
3086	Autosomal dominant vitreoretinochoroidopathy
3087	Retinohepatoendocrinologic syndrome
3097	Meacham syndrome
3078	Severe X-linked intellectual disability, Gustavson type
3077	X-linked intellectual disability-psychosis-macroorchidism syndrome
3079	Intellectual disability, Buenos-Aires type
3063	X-linked intellectual disability, Snyder type
3068	Intellectual disability-myopathy-short stature-endocrine defect syndrome
3067	Intellectual disability-microcephaly-phalangeal-facial abnormalities syndrome
2876	PHAVER syndrome
2872	Cardiocranial syndrome, Pfeiffer type
268322	Hereditary thrombocytopenia with normal platelets
2850	Alopecia-intellectual disability syndrome
268114	RAS-associated autoimmune leukoproliferative disease
2964	Autosomal dominant prognathism
1848	Renal agenesis, bilateral
2926	Polyneuropathy-hand defect syndrome
2925	Polymicrogyria-turricephaly-hypogenitalism syndrome
2928	Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome
2934	Polysyndactyly-cardiac malformation syndrome
2941	Porencephaly-cerebellar hypoplasia-internal malformations syndrome
264580	Glycogen storage disease due to liver phosphorylase kinase deficiency
1717	Distal trisomy 19q
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
275752	Sickle cell disease and related diseases
3409	Urban-Rogers-Meyer syndrome
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
276145	Malignant epithelial tumor of salivary glands
3412	VACTERL with hydrocephalus
276152	Multiple endocrine neoplasia type 4
3404	Ulbright-Hodes syndrome
275864	Behavioral variant of frontotemporal dementia
3314	Thiemann disease, familial form
3338	Toriello-Carey syndrome
3473	Zimmermann-Laband syndrome
3433	Microcephaly-brachydactyly-kyphoscoliosis syndrome
268936	Isolated arhinencephaly
3448	Weaver-Williams syndrome
269510	Congenital non-communicating hydrocephalus
269510	Congenital non-communicating hydrocephalus
269510	Congenital non-communicating hydrocephalus
269510	Congenital non-communicating hydrocephalus
269510	Congenital non-communicating hydrocephalus
269510	Congenital non-communicating hydrocephalus
269505	Congenital communicating hydrocephalus
3434	MMEP syndrome
280293	Pelizaeus-Merzbacher-like disease due to AIMP1 mutation
280288	Pelizaeus-Merzbacher-like disease due to HSPD1 mutation
3197	Hereditary hyperekplexia
280379	Erythropoietic uroporphyria associated with myeloid malignancy
3186	Holoprosencephaly-radial heart renal anomalies syndrome
280400	Inherited prion disease
3201	Ventricular extrasystoles with syncopal episodes-perodactyly-Robin sequence syndrome
3212	Autosomal dominant optic atrophy and congenital deafness
280397	Familial Alzheimer-like prion disease
3221	Generalized resistance to thyroid hormone
280065	Calciphylaxis cutis
279925	Infectious panuveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
279922	Infectious anterior uveitis
280068	Visceral calciphylaxis
280210	Pelizaeus-Merzbacher disease, connatal form
280183	Methylmalonic aciduria due to transcobalamin receptor defect
280282	Pelizaeus-Merzbacher-like disease due to GJC2 mutation
280270	Pelizaeus-Merzbacher-like disease
280234	Null syndrome
1797	Autosomal dominant spondylocostal dysostosis
280229	Pelizaeus-Merzbacher disease in female carriers
276624	Sporadic pheochromocytoma
276624	Sporadic pheochromocytoma
276621	Sporadic pheochromocytoma/secreting paraganglioma
276621	Sporadic pheochromocytoma/secreting paraganglioma
3270	Radioulnar synostosis-developmental delay-hypotonia syndrome
3275	Spondylocarpotarsal synostosis
279894	Toxic maculopathy due to antimalarial drugs
279894	Toxic maculopathy due to antimalarial drugs
279904	Primary intraocular lymphoma
3304	Fallot complex-intellectual disability-growth delay syndrome
279919	Infectious posterior uveitis
3226	Deafness-lymphedema-leukemia syndrome
3224	Deafness-genital anomalies-metacarpal and metatarsal synostosis syndrome
276234	Non-syndromic male infertility due to sperm motility disorder
276223	Mucopolysaccharidosis type 6, slowly progressing
276212	Mucopolysaccharidosis type 6, rapidly progressing
3231	Deafness-onychodystrophy syndrome
3239	Deafness-vitiligo-achalasia syndrome
276405	Hyperbiliverdinemia
276422	10q22.3q23.3 microduplication syndrome
911	Combined immunodeficiency due to ZAP70 deficiency
2089	Glycogen storage disease due to hepatic glycogen synthase deficiency
743	Hereditary thrombophilia due to congenital protein S deficiency
424	Familial hyperthyroidism due to mutations in TSH receptor
1930	Herpes simplex encephalitis
1930	Herpes simplex encephalitis
158	Systemic primary carnitine deficiency
2056	Essential fructosuria
1945	Rolandic epilepsy
832	Succinyl-CoA:3-ketoacid CoA transferase deficiency
1129	Arachnodactyly-abnormal ossification-intellectual disability syndrome
1383	Cataract-deafness-hypogonadism syndrome
206538	Malignant non-dysgerminomatous germ cell tumor of ovary
206569	Immune-mediated necrotizing myopathy
206580	Autosomal recessive lower motor neuron disease with childhood onset
206575	Rippling muscle disease with myasthenia gravis
206443	Late-infantile/juvenile Krabbe disease
3439	Von Voss-Cherstvoy syndrome
206470	Serous or mucinous cystadenoma of childhood
1217	Spinal atrophy-ophthalmoplegia-pyramidal syndrome
206473	Borderline epithelial tumor of ovary
206484	Gonadoblastoma
206701	Bulbospinal muscular atrophy
206710	Generalized bulbospinal muscular atrophy
206707	Bulbospinal muscular atrophy of adult
206704	Bulbospinal muscular atrophy of childhood
229	Familial aortic dissection
206959	Muscular glycogenosis
28	Vitamin B12-responsive methylmalonic acidemia
206973	Congenital myotonia
206594	Subacute inflammatory demyelinating polyneuropathy
206583	Adult polyglucosan body disease
2729	Okamoto syndrome
1130	Arachnodactyly-intellectual disability-dysmorphism syndrome
2062	Progressive non-infectious anterior vertebral fusion
207009	Acquired rod-body myopathy
207006	Acquired amyloid myopathy
206994	Bacterial myositis
206988	Infectious, fungal or parasitic myopathy
209004	Axonal polyneuropathy associated with IgG/IgM/IgA monoclonal gammopathy
208981	Polyradiculoneuropathy associated with IgG/IgA/IgM monoclonal gammopathy without known antibodies
1101	Anophthalmia-megalocornea-cardiopathy-skeletal anomalies syndrome
208978	Chronic polyradiculoneuropathy
1768	Familial caudal dysgenesis
2204	Dysplastic cortical hyperostosis
1277	Brachydactyly-mesomelia-intellectual disability-heart defects syndrome
1778	Facial dysmorphism-shawl scrotum-joint laxity syndrome
3074	Intellectual disability-short stature-hypertelorism syndrome
2649	Short stature-intellectual disability-eye anomalies-cleft lip/palate syndrome
209959	Phacoanaphylactic uveitis
209902	Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency
209943	IRVAN syndrome
209932	Cone dystrophy with supernormal rod response
209919	Idiopathic copper-associated cirrhosis
209867	Autosomal dominant rhegmatogenous retinal detachment
210144	Lethal polymalformative syndrome, Boissel type
210576	Congenital temporomandibular joint ankylosis
407	Glycine encephalopathy
663	Maternally-inherited progressive external ophthalmoplegia
1246	Brachydactyly-nystagmus-cerebellar ataxia syndrome
618	Familial melanoma
618	Familial melanoma
618	Familial melanoma
