relationship_name	orphanet_id	dise_name	dise_type	drugbank_id	drug_name
indication	352665	Neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to 9q21 microdeletion	rare_genetic	DB00997	Doxorubicin
indication	293948	1p21.3 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	313884	12p12.1 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	401986	1p31p32 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	411511	Angelman syndrome due to a point mutation	rare_genetic	DB00997	Doxorubicin
indication	411515	Angelman syndrome due to imprinting defect in 15q11-q13	rare_genetic	DB00997	Doxorubicin
indication	77301	Monosomy 9q22.3	rare_genetic	DB00997	Doxorubicin
indication	75857	6q terminal deletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	36367	Distal monosomy 1q	rare_genetic	DB00997	Doxorubicin
indication	48652	Monosomy 22q13	rare_genetic	DB00997	Doxorubicin
indication	52022	Potocki-Shaffer syndrome	rare_genetic	DB00997	Doxorubicin
indication	94064	Deafness-infertility syndrome	rare_genetic	DB00997	Doxorubicin
indication	94063	12q14 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	94065	15q24 microdeletion syndrome	rare_genetic	DB00997	Doxorubicin
indication	98795	Angelman syndrome due to paternal uniparental disomy of chromosome 15	rare_genetic	DB00997	Doxorubicin
indication	98794	Angelman syndrome due to maternal 15q11q13 deletion	rare_genetic	DB00997	Doxorubicin
off-label use	100093	Carcinoid syndrome	not_genetic	DB00997	Doxorubicin
indication	251630	Anaplastic oligodendroglioma	not_genetic	DB00997	Doxorubicin
indication	251656	Oligoastrocytoma	not_genetic	DB00997	Doxorubicin
indication	251663	Anaplastic oligoastrocytoma	not_genetic	DB00997	Doxorubicin
indication	251671	Angiocentric glioma	not_genetic	DB00997	Doxorubicin
indication	251579	Giant cell glioblastoma	not_genetic	DB00997	Doxorubicin
indication	251589	Anaplastic astrocytoma	not_genetic	DB00997	Doxorubicin
indication	251598	Protoplasmic astrocytoma	not_genetic	DB00997	Doxorubicin
indication	251604	Gemistocytic astrocytoma	not_genetic	DB00997	Doxorubicin
indication	251601	Fibrillary astrocytoma	not_genetic	DB00997	Doxorubicin
indication	251612	Pilocytic astrocytoma	not_genetic	DB00997	Doxorubicin
indication	251627	Oligodendroglioma	not_genetic	DB00997	Doxorubicin
indication	276627	Sporadic secreting paraganglioma	not_genetic	DB00997	Doxorubicin
indication	370348	Peripheral primitive neuroectodermal tumor	not_genetic	DB00997	Doxorubicin
indication	29072	Hereditary pheochromocytoma-paraganglioma	rare_genetic	DB00997	Doxorubicin
off-label use	14	Abetalipoproteinemia	rare_genetic	DB01241	Gemfibrozil
off-label use	71	Chylomicron retention disease	rare_genetic	DB01241	Gemfibrozil
off-label use	2388	Choreoacanthocytosis	rare_genetic	DB01241	Gemfibrozil
off-label use	425	Apolipoprotein A-I deficiency	rare_genetic	DB01241	Gemfibrozil
off-label use	31150	Tangier disease	rare_genetic	DB01241	Gemfibrozil
off-label use	79293	Familial LCAT deficiency	rare_genetic	DB01241	Gemfibrozil
off-label use	79292	Fish-eye disease	rare_genetic	DB01241	Gemfibrozil
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB00227	Lovastatin
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB00227	Lovastatin
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB00227	Lovastatin
indication	14	Abetalipoproteinemia	rare_genetic	DB00227	Lovastatin
indication	71	Chylomicron retention disease	rare_genetic	DB00227	Lovastatin
indication	2388	Choreoacanthocytosis	rare_genetic	DB00227	Lovastatin
indication	425	Apolipoprotein A-I deficiency	rare_genetic	DB00227	Lovastatin
indication	31150	Tangier disease	rare_genetic	DB00227	Lovastatin
indication	79293	Familial LCAT deficiency	rare_genetic	DB00227	Lovastatin
indication	79292	Fish-eye disease	rare_genetic	DB00227	Lovastatin
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB01039	Fenofibrate
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB01039	Fenofibrate
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB01039	Fenofibrate
indication	14	Abetalipoproteinemia	rare_genetic	DB01039	Fenofibrate
indication	71	Chylomicron retention disease	rare_genetic	DB01039	Fenofibrate
indication	2388	Choreoacanthocytosis	rare_genetic	DB01039	Fenofibrate
indication	425	Apolipoprotein A-I deficiency	rare_genetic	DB01039	Fenofibrate
indication	31150	Tangier disease	rare_genetic	DB01039	Fenofibrate
indication	79293	Familial LCAT deficiency	rare_genetic	DB01039	Fenofibrate
indication	79292	Fish-eye disease	rare_genetic	DB01039	Fenofibrate
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB00627	Niacin
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB00627	Niacin
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB00627	Niacin
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB01098	Rosuvastatin
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB01098	Rosuvastatin
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB01098	Rosuvastatin
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB00175	Pravastatin
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB00175	Pravastatin
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB00175	Pravastatin
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB01076	Atorvastatin
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB01076	Atorvastatin
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB01076	Atorvastatin
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB00641	Simvastatin
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB00641	Simvastatin
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB00641	Simvastatin
indication	14	Abetalipoproteinemia	rare_genetic	DB00641	Simvastatin
indication	71	Chylomicron retention disease	rare_genetic	DB00641	Simvastatin
indication	2388	Choreoacanthocytosis	rare_genetic	DB00641	Simvastatin
indication	425	Apolipoprotein A-I deficiency	rare_genetic	DB00641	Simvastatin
indication	31150	Tangier disease	rare_genetic	DB00641	Simvastatin
indication	79293	Familial LCAT deficiency	rare_genetic	DB00641	Simvastatin
indication	79292	Fish-eye disease	rare_genetic	DB00641	Simvastatin
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB00973	Ezetimibe
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB00973	Ezetimibe
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB00973	Ezetimibe
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB08860	Pitavastatin
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB08860	Pitavastatin
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB08860	Pitavastatin
indication	140905	Hyperlipidemia due to hepatic triglyceride lipase deficiency	rare_genetic	DB01095	Fluvastatin
indication	412	Hyperlipoproteinemia type 3	rare_genetic	DB01095	Fluvastatin
indication	79506	Cholesterol-ester transfer protein deficiency	rare_genetic	DB01095	Fluvastatin
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00387	Procyclidine
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00387	Procyclidine
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00387	Procyclidine
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00387	Procyclidine
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00387	Procyclidine
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00387	Procyclidine
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00915	Amantadine
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00915	Amantadine
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00915	Amantadine
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00915	Amantadine
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00915	Amantadine
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00915	Amantadine
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00190	Carbidopa
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00190	Carbidopa
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00190	Carbidopa
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00190	Carbidopa
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00190	Carbidopa
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00190	Carbidopa
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB01235	L-DOPA
indication	2828	Young-onset Parkinson disease	rare_genetic	DB01235	L-DOPA
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB01235	L-DOPA
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB01235	L-DOPA
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB01235	L-DOPA
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB01235	L-DOPA
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00268	Ropinirole
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00268	Ropinirole
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00268	Ropinirole
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00268	Ropinirole
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00268	Ropinirole
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00268	Ropinirole
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00810	Biperiden
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00810	Biperiden
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00810	Biperiden
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00810	Biperiden
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00810	Biperiden
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00810	Biperiden
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB05271	Rotigotine
indication	2828	Young-onset Parkinson disease	rare_genetic	DB05271	Rotigotine
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB05271	Rotigotine
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB05271	Rotigotine
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB05271	Rotigotine
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB05271	Rotigotine
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00245	Benzatropine
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00245	Benzatropine
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00245	Benzatropine
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00245	Benzatropine
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00245	Benzatropine
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00245	Benzatropine
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00714	Apomorphine
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00714	Apomorphine
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00714	Apomorphine
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00714	Apomorphine
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00714	Apomorphine
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00714	Apomorphine
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00494	Entacapone
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00494	Entacapone
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00494	Entacapone
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00494	Entacapone
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00494	Entacapone
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00494	Entacapone
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00376	Trihexyphenidyl
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00376	Trihexyphenidyl
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00376	Trihexyphenidyl
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00376	Trihexyphenidyl
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00376	Trihexyphenidyl
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00376	Trihexyphenidyl
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB01037	Selegiline
indication	2828	Young-onset Parkinson disease	rare_genetic	DB01037	Selegiline
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB01037	Selegiline
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB01037	Selegiline
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB01037	Selegiline
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB01037	Selegiline
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00413	Pramipexole
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00413	Pramipexole
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00413	Pramipexole
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00413	Pramipexole
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00413	Pramipexole
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00413	Pramipexole
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB01200	Bromocriptine
indication	2828	Young-onset Parkinson disease	rare_genetic	DB01200	Bromocriptine
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB01200	Bromocriptine
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB01200	Bromocriptine
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB01200	Bromocriptine
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB01200	Bromocriptine
indication	963	Acromegaly	not_genetic	DB01200	Bromocriptine
indication	448372	X-linked acrogigantism due to Xq26 microduplication	rare_genetic	DB01200	Bromocriptine
indication	2965	Prolactinoma	not_genetic	DB01200	Bromocriptine
indication	397685	Familial  hyperprolactinemia	rare_genetic	DB01200	Bromocriptine
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00323	Tolcapone
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00323	Tolcapone
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00323	Tolcapone
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00323	Tolcapone
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00323	Tolcapone
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00323	Tolcapone
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB01367	Rasagiline
indication	2828	Young-onset Parkinson disease	rare_genetic	DB01367	Rasagiline
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB01367	Rasagiline
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB01367	Rasagiline
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB01367	Rasagiline
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB01367	Rasagiline
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB06262	Droxidopa
indication	2828	Young-onset Parkinson disease	rare_genetic	DB06262	Droxidopa
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB06262	Droxidopa
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB06262	Droxidopa
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB06262	Droxidopa
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB06262	Droxidopa
indication	227510	Multiple system atrophy, cerebellar type	not_genetic	DB06262	Droxidopa
indication	443236	Orthostatic intolerance due to NET deficiency	rare_genetic	DB06262	Droxidopa
indication	171695	Parkinsonian-pyramidal syndrome	rare_genetic	DB00942	Cycrimine
indication	2828	Young-onset Parkinson disease	rare_genetic	DB00942	Cycrimine
indication	2379	Early-onset parkinsonism-intellectual disability syndrome	rare_genetic	DB00942	Cycrimine
indication	363654	X-linked parkinsonism-spasticity syndrome	rare_genetic	DB00942	Cycrimine
indication	411602	Hereditary late-onset Parkinson disease	rare_genetic	DB00942	Cycrimine
indication	391411	Atypical juvenile parkinsonism	rare_genetic	DB00942	Cycrimine
off-label use	2334	Autosomal dominant keratitis	rare_genetic	DB00634	Sulfacetamide
indication	163699	Alveolar soft-tissue sarcoma	not_genetic	DB06589	Pazopanib
indication	209916	Extraskeletal myxoid chondrosarcoma	not_genetic	DB06589	Pazopanib
indication	2030	Fibrosarcoma	not_genetic	DB06589	Pazopanib
indication	3273	Synovial sarcoma	not_genetic	DB06589	Pazopanib
indication	231108	Familial rhabdoid tumor	rare_genetic	DB06589	Pazopanib
indication	370334	Extraskeletal Ewing sarcoma	not_genetic	DB06589	Pazopanib
indication	31112	Dermatofibrosarcoma protuberans	rare_genetic	DB06589	Pazopanib
indication	55880	Chondrosarcoma	not_genetic	DB06589	Pazopanib
indication	79105	Myxofibrosarcoma	not_genetic	DB06589	Pazopanib
indication	99757	Embryonal rhabdomyosarcoma	not_genetic	DB06589	Pazopanib
indication	99756	Alveolar rhabdomyosarcoma	not_genetic	DB06589	Pazopanib
indication	99971	Well-differentiated liposarcoma	not_genetic	DB06589	Pazopanib
indication	99970	Dedifferentiated liposarcoma	not_genetic	DB06589	Pazopanib
indication	99967	Myxoid/round cell liposarcoma	not_genetic	DB06589	Pazopanib
indication	99966	Atypical teratoid rhabdoid tumor	not_genetic	DB06589	Pazopanib
indication	963	Acromegaly	not_genetic	DB00589	Lisuride
indication	448372	X-linked acrogigantism due to Xq26 microduplication	rare_genetic	DB00589	Lisuride
indication	963	Acromegaly	not_genetic	DB00104	Octreotide
indication	448372	X-linked acrogigantism due to Xq26 microduplication	rare_genetic	DB00104	Octreotide
indication	100093	Carcinoid syndrome	not_genetic	DB00104	Octreotide
off-label use	165991	Exercise-induced hyperinsulinism	rare_genetic	DB00104	Octreotide
off-label use	263458	Hyperinsulinism due to INSR deficiency	rare_genetic	DB00104	Octreotide
off-label use	263455	Hyperinsulinism due to HNF4A deficiency	rare_genetic	DB00104	Octreotide
off-label use	276580	Autosomal dominant hyperinsulinism due to Kir6.2 deficiency	rare_genetic	DB00104	Octreotide
off-label use	276575	Autosomal dominant hyperinsulinism due to SUR1 deficiency	rare_genetic	DB00104	Octreotide
off-label use	276598	Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency	rare_genetic	DB00104	Octreotide
off-label use	276603	Diazoxide-resistant focal hyperinsulinism due to Kir6.2 deficiency	rare_genetic	DB00104	Octreotide
off-label use	276556	Hyperinsulinism due to UCP2 deficiency	rare_genetic	DB00104	Octreotide
off-label use	324575	Hyperinsulinism due to HNF1A deficiency	rare_genetic	DB00104	Octreotide
off-label use	438274	GCGR-related hyperglucagonemia	not_genetic	DB00104	Octreotide
off-label use	79299	Hyperinsulinism due to glucokinase deficiency	rare_genetic	DB00104	Octreotide
off-label use	79643	Autosomal recessive hyperinsulinism due to SUR1 deficiency	rare_genetic	DB00104	Octreotide
off-label use	79644	Autosomal recessive hyperinsulinism due to Kir6.2 deficiency	rare_genetic	DB00104	Octreotide
off-label use	100093	Carcinoid syndrome	not_genetic	DB00104	Octreotide
indication	26106	Hereditary diffuse gastric cancer	rare_genetic	DB00544	Fluorouracil
off-label use	100093	Carcinoid syndrome	not_genetic	DB00544	Fluorouracil
indication	2334	Autosomal dominant keratitis	rare_genetic	DB01263	Posaconazole
off-label use	171	Primary sclerosing cholangitis	not_genetic	DB00681	Amphotericin B
indication	1334	Chronic mucocutaneous candidiasis	rare_genetic	DB00681	Amphotericin B
indication	2334	Autosomal dominant keratitis	rare_genetic	DB01167	Itraconazole
indication	2334	Autosomal dominant keratitis	rare_genetic	DB00582	Voriconazole
indication	1334	Chronic mucocutaneous candidiasis	rare_genetic	DB01026	Ketoconazole
off-label use	1334	Chronic mucocutaneous candidiasis	rare_genetic	DB00857	Terbinafine
indication	70587	Infant acute respiratory distress syndrome	not_genetic	DB06439	Tyloxapol
off-label use	70587	Infant acute respiratory distress syndrome	not_genetic	DB00741	Hydrocortisone
indication	3002	Immune thrombocytopenic purpura	not_genetic	DB00741	Hydrocortisone
indication	2334	Autosomal dominant keratitis	rare_genetic	DB00741	Hydrocortisone
indication	797	Sarcoidosis	not_genetic	DB00741	Hydrocortisone
indication	361	Familial glucocorticoid deficiency	rare_genetic	DB00741	Hydrocortisone
indication	289548	Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency	rare_genetic	DB00741	Hydrocortisone
indication	95702	Cytomegalic congenital adrenal hypoplasia	rare_genetic	DB00741	Hydrocortisone
indication	93552	Pediatric systemic lupus erythematosus	not_genetic	DB00741	Hydrocortisone
indication	853	Fetal and neonatal alloimmune thrombocytopenia	not_genetic	DB00741	Hydrocortisone
indication	703	Bullous pemphigoid	not_genetic	DB00741	Hydrocortisone
off-label use	325524	Classic congenital lipoid adrenal hyperplasia due to STAR deficency	rare_genetic	DB00741	Hydrocortisone
off-label use	325529	Non-classic congenital lipoid adrenal hyperplasia due to STAR deficency	rare_genetic	DB00741	Hydrocortisone
off-label use	315311	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, simple virilizing form	rare_genetic	DB00741	Hydrocortisone
off-label use	315306	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form	rare_genetic	DB00741	Hydrocortisone
off-label use	90791	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency	rare_genetic	DB00741	Hydrocortisone
off-label use	90793	Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency	rare_genetic	DB00741	Hydrocortisone
off-label use	90795	Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency	rare_genetic	DB00741	Hydrocortisone
