:ID,identifier:string,name:string,:LABEL
6385,6385,"SDC4",Gene
C0520736,C0520736,"Coombs positive haemolytic anaemia",Side Effect
345643,345643,"MCIDAS",Gene
GO:0090083,GO:0090083,"regulation of inclusion body assembly",Biological Process
GO:0035803,GO:0035803,"egg coat formation",Biological Process
84908,84908,"FAM136A",Gene
C0236051,C0236051,"Tolerance development",Side Effect
C0014358,C0014358,"Pseudomembranous enterocolitis",Side Effect
C1720775,C1720775,"Renal tubular necrosis",Side Effect
57128,57128,"LYRM4",Gene
64895,64895,"PAPOLG",Gene
C0029574,C0029574,"Other dermatoses",Side Effect
PC7_6191,PC7_6191,"PLK3 signaling events",Pathway
C0018800,C0018800,"Cardiomegaly",Side Effect
DB00655,DB00655,"Estrone",Compound
GO:0033133,GO:0033133,"positive regulation of glucokinase activity",Biological Process
GO:0018636,GO:0018636,"phenanthrene 9,10-monooxygenase activity",Molecular Function
1056,1056,"CEL",Gene
10871,10871,"CD300C",Gene
79007,79007,"DBNDD1",Gene
219858,219858,"OR8B12",Gene
GO:0006732,GO:0006732,"coenzyme metabolic process",Biological Process
GO:0035870,GO:0035870,"dITP diphosphatase activity",Molecular Function
605,605,"BCL7A",Gene
8336,8336,"HIST1H2AM",Gene
157562,157562,"LOC157562",Gene
51227,51227,"PIGP",Gene
3939,3939,"LDHA",Gene
C1542178,C1542178,"Lower limb fracture",Side Effect
100506084,100506084,"ARL17B",Gene
338773,338773,"TMEM119",Gene
84456,84456,"L3MBTL3",Gene
C0233523,C0233523,"Antisocial behaviour",Side Effect
C0424109,C0424109,"Tearfulness",Side Effect
56676,56676,"ASCL3",Gene
83461,83461,"CDCA3",Gene
6539,6539,"SLC6A12",Gene
N0000185007,N0000185007,"Adrenergic beta3-Agonists",Pharmacologic Class
GO:0045806,GO:0045806,"negative regulation of endocytosis",Biological Process
GO:0031968,GO:0031968,"organelle outer membrane",Cellular Component
GO:0043043,GO:0043043,"peptide biosynthetic process",Biological Process
10419,10419,"PRMT5",Gene
GO:0045606,GO:0045606,"positive regulation of epidermal cell differentiation",Biological Process
GO:0004674,GO:0004674,"protein serine/threonine kinase activity",Molecular Function
153,153,"ADRB1",Gene
8492,8492,"PRSS12",Gene
26038,26038,"CHD5",Gene
134957,134957,"STXBP5",Gene
101929355,101929355,"LOC101929355",Gene
C0036220,C0036220,"Kaposi's sarcoma",Side Effect
139081,139081,"MAGEC3",Gene
GO:0007099,GO:0007099,"centriole replication",Biological Process
338321,338321,"NLRP9",Gene
11219,11219,"TREX2",Gene
5602,5602,"MAPK10",Gene
C0036529,C0036529,"Cardiomyopathy secondary NOS",Side Effect
WP2889_r79753,WP2889_r79753,"Oxytocin signaling",Pathway
GO:0072077,GO:0072077,"renal vesicle morphogenesis",Biological Process
388552,388552,"BLOC1S3",Gene
4639,4639,"MYLL1",Gene
GO:0045596,GO:0045596,"negative regulation of cell differentiation",Biological Process
55773,55773,"TBC1D23",Gene
C0040434,C0040434,"Tooth discolouration",Side Effect
C1863751,C1863751,"Wound healing normal",Side Effect
GO:0061339,GO:0061339,"establishment or maintenance of monopolar cell polarity",Biological Process
C1096701,C1096701,"Medical device discomfort",Side Effect
GO:0051983,GO:0051983,"regulation of chromosome segregation",Biological Process
100526693,100526693,"ARPC4-TTLL3",Gene
C0032045,C0032045,"Placental disorder",Side Effect
54902,54902,"TTC19",Gene
1749,1749,"DLX5",Gene
GO:0032460,GO:0032460,"negative regulation of protein oligomerization",Biological Process
GO:1901207,GO:1901207,"regulation of heart looping",Biological Process
GO:0016849,GO:0016849,"phosphorus-oxygen lyase activity",Molecular Function
GO:0048146,GO:0048146,"positive regulation of fibroblast proliferation",Biological Process
C0151650,C0151650,"Kidney fibrosis",Side Effect
339501,339501,"PRSS38",Gene
102724279,102724279,"LOC102724279",Gene
GO:0031113,GO:0031113,"regulation of microtubule polymerization",Biological Process
105373154,105373154,"LOC105373154",Gene
6718,6718,"AKR1D1",Gene
26206,26206,"SPAG8",Gene
GO:0031698,GO:0031698,"beta-2 adrenergic receptor binding",Molecular Function
101927376,101927376,"LOC101927376",Gene
101927581,101927581,"CCDC182",Gene
PC7_4777,PC7_4777,"Interleukin-1 processing",Pathway
C0920102,C0920102,"Phosphorus low",Side Effect
GO:0042611,GO:0042611,"MHC protein complex",Cellular Component
C0268435,C0268435,"Proximal renal tubular acidosis",Side Effect
DB00566,DB00566,"Succimer",Compound
GO:0048625,GO:0048625,"myoblast fate commitment",Biological Process
C0087169,C0087169,"Withdrawal symptom",Side Effect
N0000175970,N0000175970,"Increased Platelet Production",Pharmacologic Class
D015430,D015430,"Weight Gain",Symptom
114823,114823,"LENG8",Gene
1809,1809,"DPYSL3",Gene
9636,9636,"ISG15",Gene
UBERON:0002414,UBERON:0002414,"lumbar vertebra",Anatomy
C1262038,C1262038,"Post procedural nausea",Side Effect
79820,79820,"CATSPERB",Gene
GO:0043140,GO:0043140,"ATP-dependent 3'-5' DNA helicase activity",Molecular Function
9153,9153,"SLC28A2",Gene
PC7_3072,PC7_3072,"Depolymerisation of the Nuclear Lamina",Pathway
PC7_7729,PC7_7729,"Synthesis of 5-eicosatetraenoic acids",Pathway
GO:0016657,GO:0016657,"oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor",Molecular Function
732265,732265,"LOC732265",Gene
GO:0000188,GO:0000188,"inactivation of MAPK activity",Biological Process
GO:0090191,GO:0090191,"negative regulation of branching involved in ureteric bud morphogenesis",Biological Process
GO:0044803,GO:0044803,"multi-organism membrane organization",Biological Process
GO:0071010,GO:0071010,"prespliceosome",Cellular Component
GO:0044026,GO:0044026,"DNA hypermethylation",Biological Process
5783,5783,"PTPN13",Gene
284001,284001,"CCDC57",Gene
C2062908,C2062908,"Gout acute",Side Effect
C0232981,C0232981,"Spermatogenesis arrest",Side Effect
C0241832,C0241832,"Cerebrovascular insufficiency",Side Effect
GO:0031314,GO:0031314,"extrinsic component of mitochondrial inner membrane",Cellular Component
101060400,101060400,"LOC101060400",Gene
GO:0006782,GO:0006782,"protoporphyrinogen IX biosynthetic process",Biological Process
89122,89122,"TRIM4",Gene
GO:0005230,GO:0005230,"extracellular ligand-gated ion channel activity",Molecular Function
1453,1453,"CSNK1D",Gene
11232,11232,"POLG2",Gene
28234,28234,"SLCO1B3",Gene
GO:0046977,GO:0046977,"TAP binding",Molecular Function
219743,219743,"TYSND1",Gene
GO:0002505,GO:0002505,"antigen processing and presentation of polysaccharide antigen via MHC class II",Biological Process
966,966,"CD59",Gene
25831,25831,"HECTD1",Gene
GO:0006656,GO:0006656,"phosphatidylcholine biosynthetic process",Biological Process
51588,51588,"PIAS4",Gene
C0085652,C0085652,"Pyoderma gangrenosum",Side Effect
C0079027,C0079027,"Intraoperative hemorrhage",Side Effect
11057,11057,"ABHD2",Gene
100129324,100129324,"LOC100129324",Gene
7862,7862,"BRPF1",Gene
GO:0097610,GO:0097610,"cell surface furrow",Cellular Component
58484,58484,"NLRC4",Gene
84245,84245,"MRI1",Gene
94120,94120,"SYTL3",Gene
5331,5331,"PLCB3",Gene
GO:0000132,GO:0000132,"establishment of mitotic spindle orientation",Biological Process
UBERON:0000013,UBERON:0000013,"sympathetic nervous system",Anatomy
GO:0030426,GO:0030426,"growth cone",Cellular Component
C0151311,C0151311,"Cranial nerve paralysis",Side Effect
GO:0071494,GO:0071494,"cellular response to UV-C",Biological Process
116511,116511,"MAS1L",Gene
134121,134121,"C5orf49",Gene
10300,10300,"KATNB1",Gene
D001724,D001724,"Birth Weight",Symptom
GO:0004300,GO:0004300,"enoyl-CoA hydratase activity",Molecular Function
UBERON:0001688,UBERON:0001688,"incus bone",Anatomy
105373987,105373987,"LOC105373987",Gene
GO:0036338,GO:0036338,"viral membrane",Cellular Component
9817,9817,"KEAP1",Gene
25891,25891,"PAMR1",Gene
GO:0045590,GO:0045590,"negative regulation of regulatory T cell differentiation",Biological Process
GO:0046103,GO:0046103,"inosine biosynthetic process",Biological Process
C0239885,C0239885,"Headache dull",Side Effect
7410,7410,"VAV2",Gene
C0022876,C0022876,"Premature labour",Side Effect
GO:0001954,GO:0001954,"positive regulation of cell-matrix adhesion",Biological Process
PC7_2071,PC7_2071,"Beta oxidation of palmitoyl-CoA to myristoyl-CoA",Pathway
23033,23033,"DOPEY1",Gene
58157,58157,"NGB",Gene
GO:0036148,GO:0036148,"phosphatidylglycerol acyl-chain remodeling",Biological Process
C0162283,C0162283,"Nephrogenic diabetes insipidus",Side Effect
DB06267,DB06267,"Udenafil",Compound
257397,257397,"TAB3",Gene
5000,5000,"ORC4",Gene
GO:0004359,GO:0004359,"glutaminase activity",Molecular Function
55622,55622,"TTC27",Gene
221927,221927,"BRAT1",Gene
GO:0070171,GO:0070171,"negative regulation of tooth mineralization",Biological Process
GO:0008236,GO:0008236,"serine-type peptidase activity",Molecular Function
55267,55267,"PRR34",Gene
GO:0000784,GO:0000784,"nuclear chromosome, telomeric region",Cellular Component
80000,80000,"GREB1L",Gene
GO:0061323,GO:0061323,"cell proliferation involved in heart morphogenesis",Biological Process
GO:0008301,GO:0008301,"DNA binding, bending",Molecular Function
100130827,100130827,"SBK3",Gene
1630,1630,"DCC",Gene
9365,9365,"KL",Gene
C2004521,C2004521,"Anaemia vitamin B12 deficiency",Side Effect
GO:0016309,GO:0016309,"1-phosphatidylinositol-5-phosphate 4-kinase activity",Molecular Function
GO:0098644,GO:0098644,"complex of collagen trimers",Cellular Component
D012913,D012913,"Snoring",Symptom
C0278045,C0278045,"Urine odour abnormal",Side Effect
C0038220,C0038220,"Status epilepticus",Side Effect
GO:0005589,GO:0005589,"collagen type VI trimer",Cellular Component
7083,7083,"TK1",Gene
57705,57705,"WDFY4",Gene
GO:0023023,GO:0023023,"MHC protein complex binding",Molecular Function
4548,4548,"MTR",Gene
128611,128611,"ZNF831",Gene
91894,91894,"C11orf52",Gene
3681,3681,"ITGAD",Gene
64114,64114,"TMBIM1",Gene
81628,81628,"TSC22D4",Gene
DB00791,DB00791,"Uracil mustard",Compound
105375303,105375303,"LOC105375303",Gene
132250,132250,"DAP4C",Gene
10961,10961,"ERP29",Gene
150372,150372,"NFAM1",Gene
27067,27067,"STAU2",Gene
D006948,D006948,"Hyperkinesis",Symptom
GO:0030203,GO:0030203,"glycosaminoglycan metabolic process",Biological Process
GO:0019627,GO:0019627,"urea metabolic process",Biological Process
GO:2000505,GO:2000505,"regulation of energy homeostasis",Biological Process
253152,253152,"EPHX4",Gene
GO:0005789,GO:0005789,"endoplasmic reticulum membrane",Cellular Component
GO:0071987,GO:0071987,"WD40-repeat domain binding",Molecular Function
147841,147841,"SPC24",Gene
26580,26580,"BSCL2",Gene
PC7_6047,PC7_6047,"Oncogene Induced Senescence",Pathway
GO:0035067,GO:0035067,"negative regulation of histone acetylation",Biological Process
105370909,105370909,"LOC105370909",Gene
6631,6631,"SNRPC",Gene
GO:0043086,GO:0043086,"negative regulation of catalytic activity",Biological Process
C0861149,C0861149,"Proarrhythmic effect",Side Effect
84034,84034,"EMILIN2",Gene
GO:0001640,GO:0001640,"adenylate cyclase inhibiting G-protein coupled glutamate receptor activity",Molecular Function
GO:0016595,GO:0016595,"glutamate binding",Molecular Function
23274,23274,"CLEC16A",Gene
GO:0032926,GO:0032926,"negative regulation of activin receptor signaling pathway",Biological Process
5216,5216,"PFN1",Gene
C0234458,C0234458,"Abnormal dreams",Side Effect
GO:0034236,GO:0034236,"protein kinase A catalytic subunit binding",Molecular Function
81688,81688,"C6orf62",Gene
UBERON:0000011,UBERON:0000011,"parasympathetic nervous system",Anatomy
2774,2774,"GNAL",Gene
PC7_8664,PC7_8664,"VEGFA-VEGFR2 Pathway",Pathway
WP2035_r78536,WP2035_r78536,"FSH signaling pathway",Pathway
DB00803,DB00803,"Colistin",Compound
C0854567,C0854567,"Complications of transplant surgery",Side Effect
GO:0060081,GO:0060081,"membrane hyperpolarization",Biological Process
10713,10713,"USP39",Gene
883,883,"CCBL1",Gene
PC7_2524,PC7_2524,"Cell junction organization",Pathway
GO:0070235,GO:0070235,"regulation of activation-induced cell death of T cells",Biological Process
GO:0005315,GO:0005315,"inorganic phosphate transmembrane transporter activity",Molecular Function
340526,340526,"RGAG4",Gene
GO:1903541,GO:1903541,"regulation of exosomal secretion",Biological Process
PC7_4784,PC7_4784,"Intrinsic Pathway",Pathway
51114,51114,"ZDHHC9",Gene
GO:0033861,GO:0033861,"negative regulation of NAD(P)H oxidase activity",Biological Process
GO:0016896,GO:0016896,"exoribonuclease activity, producing 5'-phosphomonoesters",Molecular Function
C0242770,C0242770,"Bronchiolitis obliterans with organizing pneumonia",Side Effect
105370098,105370098,"LOC105370098",Gene
5212,5212,"VIT",Gene
23334,23334,"SZT2",Gene
DB01227,DB01227,"Levomethadyl Acetate",Compound
105369199,105369199,"LOC105369199",Gene
4857,4857,"NOVA1",Gene
GO:0034686,GO:0034686,"integrin alphav-beta8 complex",Cellular Component
728833,728833,"FAM72D",Gene
2834,2834,"PRLHR",Gene
10665,10665,"C6orf10",Gene
GO:0030264,GO:0030264,"nuclear fragmentation involved in apoptotic nuclear change",Biological Process
GO:0035024,GO:0035024,"negative regulation of Rho protein signal transduction",Biological Process
GO:0042834,GO:0042834,"peptidoglycan binding",Molecular Function
PC7_5339,PC7_5339,"Metal ion SLC transporters",Pathway
GO:0007569,GO:0007569,"cell aging",Biological Process
GO:1902569,GO:1902569,"negative regulation of activation of JAK2 kinase activity",Biological Process
399,399,"RHOH",Gene
10178,10178,"TENM1",Gene
GO:0070324,GO:0070324,"thyroid hormone binding",Molecular Function
GO:0003995,GO:0003995,"acyl-CoA dehydrogenase activity",Molecular Function
DB01149,DB01149,"Nefazodone",Compound
GO:0043555,GO:0043555,"regulation of translation in response to stress",Biological Process
7295,7295,"TXN",Gene
GO:0030660,GO:0030660,"Golgi-associated vesicle membrane",Cellular Component
GO:0002697,GO:0002697,"regulation of immune effector process",Biological Process
C0023434,C0023434,"Chronic lymphocytic leukaemia",Side Effect
GO:0072284,GO:0072284,"metanephric S-shaped body morphogenesis",Biological Process
GO:0072675,GO:0072675,"osteoclast fusion",Biological Process
DB00598,DB00598,"Labetalol",Compound
146223,146223,"CMTM4",Gene
22882,22882,"ZHX2",Gene
C0037822,C0037822,"Speech disorder",Side Effect
PC7_8776,PC7_8776,"WNT5A-dependent internalization of FZD4",Pathway
GO:0051932,GO:0051932,"synaptic transmission, GABAergic",Biological Process
4917,4917,"NTN3",Gene
PC7_6045,PC7_6045,"Oligomerization of connexins into connexons",Pathway
221223,221223,"CES5A",Gene
N0000175962,N0000175962,"Lead Chelating Activity",Pharmacologic Class
DB00161,DB00161,"L-Valine",Compound
GO:0060896,GO:0060896,"neural plate pattern specification",Biological Process
160335,160335,"TMTC2",Gene
GO:0004862,GO:0004862,"cAMP-dependent protein kinase inhibitor activity",Molecular Function
55148,55148,"UBR7",Gene
GO:0051567,GO:0051567,"histone H3-K9 methylation",Biological Process
100506922,100506922,"LOC100506922",Gene
C0919883,C0919883,"Puncture site haemorrhage",Side Effect
C0684275,C0684275,"Haemophilia",Side Effect
1995,1995,"ELAVL3",Gene
9246,9246,"UBE2L6",Gene
DB01611,DB01611,"Hydroxychloroquine",Compound
C0020433,C0020433,"Hyperbilirubinaemia",Side Effect
GO:0017185,GO:0017185,"peptidyl-lysine hydroxylation",Biological Process
8891,8891,"EIF2B3",Gene
GO:0061307,GO:0061307,"cardiac neural crest cell differentiation involved in heart development",Biological Process
GO:0070979,GO:0070979,"protein K11-linked ubiquitination",Biological Process
6356,6356,"CCL11",Gene
653067,653067,"XAGE1E",Gene
84915,84915,"FAM222A",Gene
GO:2000134,GO:2000134,"negative regulation of G1/S transition of mitotic cell cycle",Biological Process
9118,9118,"INA",Gene
57103,57103,"TIGAR",Gene
64834,64834,"ELOVL1",Gene
