hpo_id	xref	xtype
HP:0000062	SNOMEDCT_US:21321009	SNOMEDCT_US
HP:0000062	UMLS:C0266362	UMLS
HP:0000063	UMLS:C1837532	UMLS
HP:0000064	UMLS:C1849295	UMLS
HP:0000065	SNOMEDCT_US:16924008	SNOMEDCT_US
HP:0000065	UMLS:C0404531	UMLS
HP:0000066	UMLS:C1850325	UMLS
HP:0000067	UMLS:C4025890	UMLS
HP:0000068	UMLS:C1610065	UMLS
HP:0000069	UMLS:C1840382	UMLS
HP:0000070	MSH:D014518	MSH
HP:0000070	SNOMEDCT_US:12818004	SNOMEDCT_US
HP:0000070	UMLS:C0041960	UMLS
HP:0000071	SNOMEDCT_US:95574003	SNOMEDCT_US
HP:0000071	UMLS:C0521618	UMLS
HP:0000072	SNOMEDCT_US:69758005	SNOMEDCT_US
HP:0000072	SNOMEDCT_US:95576001	SNOMEDCT_US
HP:0000072	UMLS:C0521620	UMLS
HP:0000072	UMLS:C4020897	UMLS
HP:0000073	SNOMEDCT_US:49496001	SNOMEDCT_US
HP:0000073	UMLS:C0221365	UMLS
HP:0000074	MSH:C537373	MSH
HP:0000074	SNOMEDCT_US:95575002	SNOMEDCT_US
HP:0000074	UMLS:C0521619	UMLS
HP:0000075	SNOMEDCT_US:30275001	SNOMEDCT_US
HP:0000075	UMLS:C0266298	UMLS
HP:0000076	MSH:D014718	MSH
HP:0000076	SNOMEDCT_US:197811007	SNOMEDCT_US
HP:0000076	UMLS:C0042580	UMLS
HP:0000077	MSH:D007674	MSH
HP:0000077	SNOMEDCT_US:44513007	SNOMEDCT_US
HP:0000077	SNOMEDCT_US:90708001	SNOMEDCT_US
HP:0000077	UMLS:C0022658	UMLS
HP:0000077	UMLS:C0266292	UMLS
HP:0000078	UMLS:C0281966	UMLS
HP:0000078	UMLS:C0744356	UMLS
HP:0000079	UMLS:C4021821	UMLS
HP:0000080	UMLS:C4020896	UMLS
HP:0000080	UMLS:C4021820	UMLS
HP:0000081	UMLS:C1858565	UMLS
HP:0000083	MSH:D051437	MSH
HP:0000083	SNOMEDCT_US:236423003	SNOMEDCT_US
HP:0000083	SNOMEDCT_US:42399005	SNOMEDCT_US
HP:0000083	UMLS:C0035078	UMLS
HP:0000083	UMLS:C1565489	UMLS
HP:0000083	UMLS:C1839604	UMLS
HP:0000085	MSH:D000069337	MSH
HP:0000085	SNOMEDCT_US:41729002	SNOMEDCT_US
HP:0000085	UMLS:C0221353	UMLS
HP:0000086	SNOMEDCT_US:16507009	SNOMEDCT_US
HP:0000086	UMLS:C0238207	UMLS
HP:0000089	SNOMEDCT_US:32659003	SNOMEDCT_US
HP:0000089	UMLS:C0266295	UMLS
HP:0000090	SNOMEDCT_US:204958008	SNOMEDCT_US
HP:0000090	UMLS:C0687120	UMLS
HP:0000091	UMLS:C4021826	UMLS
HP:0000092	UMLS:C1858395	UMLS
HP:0000093	MSH:D011507	MSH
HP:0000093	SNOMEDCT_US:29738008	SNOMEDCT_US
HP:0000093	UMLS:C0033687	UMLS
HP:0000095	UMLS:C4025889	UMLS
HP:0000096	SNOMEDCT_US:197661001	SNOMEDCT_US
HP:0000096	SNOMEDCT_US:82646005	SNOMEDCT_US
HP:0000096	UMLS:C0178664	UMLS
HP:0000097	MSH:D005923	MSH
HP:0000097	SNOMEDCT_US:236403004	SNOMEDCT_US
HP:0000097	SNOMEDCT_US:25821008	SNOMEDCT_US
HP:0000097	UMLS:C0017668	UMLS
HP:0000098	SNOMEDCT_US:248328003	SNOMEDCT_US
HP:0000098	UMLS:C0241240	UMLS
HP:0000099	MSH:D005921	MSH
HP:0000099	SNOMEDCT_US:36171008	SNOMEDCT_US
HP:0000099	UMLS:C0017658	UMLS
HP:0000100	MSH:D009404	MSH
HP:0000100	SNOMEDCT_US:52254009	SNOMEDCT_US
HP:0000100	UMLS:C0027726	UMLS
HP:0000103	MSH:D011141	MSH
HP:0000103	SNOMEDCT_US:28442001	SNOMEDCT_US
HP:0000103	SNOMEDCT_US:56574000	SNOMEDCT_US
HP:0000103	SNOMEDCT_US:718402002	SNOMEDCT_US
HP:0000103	UMLS:C0032617	UMLS
HP:0000104	SNOMEDCT_US:204942005	SNOMEDCT_US
HP:0000104	UMLS:C0542519	UMLS
HP:0000105	SNOMEDCT_US:300444006	SNOMEDCT_US
HP:0000105	UMLS:C0542518	UMLS
HP:0000107	MSH:D052177	MSH
HP:0000107	UMLS:C0022679	UMLS
HP:0000107	UMLS:C3887499	UMLS
HP:0000108	UMLS:C1968619	UMLS
HP:0000110	MSH:C563261	MSH
HP:0000110	SNOMEDCT_US:204949001	SNOMEDCT_US
HP:0000110	UMLS:C1619700	UMLS
HP:0000110	UMLS:C3536714	UMLS
HP:0000111	UMLS:C1866496	UMLS
HP:0000112	MSH:D007674	MSH
HP:0000112	SNOMEDCT_US:90708001	SNOMEDCT_US
HP:0000112	UMLS:C0022658	UMLS
HP:0000112	UMLS:C1408258	UMLS
HP:0000113	MSH:D007690	MSH
HP:0000113	SNOMEDCT_US:82525005	SNOMEDCT_US
HP:0000113	UMLS:C0022680	UMLS
HP:0000113	UMLS:C1567435	UMLS
HP:0000114	UMLS:C1839603	UMLS
HP:0000117	UMLS:C1845169	UMLS
HP:0000118	UMLS:C4021819	UMLS
HP:0000119	MSH:D014564	MSH
HP:0000119	SNOMEDCT_US:287085006	SNOMEDCT_US
HP:0000119	SNOMEDCT_US:42030000	SNOMEDCT_US
HP:0000119	UMLS:C0042063	UMLS
HP:0000119	UMLS:C0080276	UMLS
HP:0000119	UMLS:C4020895	UMLS
HP:0000121	MSH:D009397	MSH
HP:0000121	SNOMEDCT_US:48638002	SNOMEDCT_US
HP:0000121	UMLS:C0027709	UMLS
HP:0000121	UMLS:C4280679	UMLS
HP:0000122	SNOMEDCT_US:55726006	SNOMEDCT_US
HP:0000122	UMLS:C0266294	UMLS
HP:0000123	MSH:D009393	MSH
HP:0000123	SNOMEDCT_US:52845002	SNOMEDCT_US
HP:0000123	UMLS:C0027697	UMLS
HP:0000124	SNOMEDCT_US:95568003	SNOMEDCT_US
HP:0000124	UMLS:C0151747	UMLS
HP:0000125	SNOMEDCT_US:56108007	SNOMEDCT_US
HP:0000125	UMLS:C0221209	UMLS
HP:0000126	MSH:D006869	MSH
HP:0000126	SNOMEDCT_US:43064006	SNOMEDCT_US
HP:0000126	UMLS:C0020295	UMLS
HP:0000127	UMLS:C1846347	UMLS
HP:0000128	UMLS:C1846348	UMLS
HP:0000130	MSH:C562565	MSH
HP:0000130	SNOMEDCT_US:37849005	SNOMEDCT_US
HP:0000130	UMLS:C0266383	UMLS
HP:0000131	MSH:D007889	MSH
HP:0000131	SNOMEDCT_US:146801000119103	SNOMEDCT_US
HP:0000131	SNOMEDCT_US:44598004	SNOMEDCT_US
HP:0000131	SNOMEDCT_US:95315005	SNOMEDCT_US
HP:0000131	UMLS:C0042133	UMLS
HP:0000132	MSH:D008595	MSH
HP:0000132	SNOMEDCT_US:386692008	SNOMEDCT_US
HP:0000132	UMLS:C0025323	UMLS
HP:0000133	MSH:D006059	MSH
HP:0000133	MSH:D006060	MSH
HP:0000133	SNOMEDCT_US:205681004	SNOMEDCT_US
HP:0000133	SNOMEDCT_US:38804009	SNOMEDCT_US
HP:0000133	SNOMEDCT_US:83579008	SNOMEDCT_US
HP:0000133	SNOMEDCT_US:95219002	SNOMEDCT_US
HP:0000133	UMLS:C0018051	UMLS
HP:0000133	UMLS:C0018055	UMLS
HP:0000133	UMLS:C0687149	UMLS
HP:0000134	SNOMEDCT_US:16041008	SNOMEDCT_US
HP:0000134	UMLS:C0271578	UMLS
HP:0000135	MSH:D007006	MSH
HP:0000135	SNOMEDCT_US:48130008	SNOMEDCT_US
HP:0000135	UMLS:C0020619	UMLS
HP:0000136	UMLS:C1850327	UMLS
HP:0000137	MSH:D010049	MSH
HP:0000137	SNOMEDCT_US:5552004	SNOMEDCT_US
HP:0000137	UMLS:C0029928	UMLS
HP:0000137	UMLS:C4021818	UMLS
HP:0000138	MSH:D010048	MSH
HP:0000138	SNOMEDCT_US:79883001	SNOMEDCT_US
HP:0000138	UMLS:C0029927	UMLS
HP:0000139	MSH:D014596	MSH
HP:0000139	SNOMEDCT_US:24976005	SNOMEDCT_US
HP:0000139	UMLS:C0042140	UMLS
HP:0000140	UMLS:C3549779	UMLS
HP:0000140	UMLS:C4025888	UMLS
HP:0000141	UMLS:C2219717	UMLS
HP:0000142	UMLS:C1856023	UMLS
HP:0000143	"MEDDRA:10051097 ""Rectovaginal fistula"""	MEDDRA
HP:0000143	MSH:D012006	MSH
HP:0000143	SNOMEDCT_US:65619001	SNOMEDCT_US
HP:0000143	UMLS:C0034895	UMLS
HP:0000144	SNOMEDCT_US:17276009	SNOMEDCT_US
HP:0000144	UMLS:C0520927	UMLS
HP:0000145	UMLS:C1856006	UMLS
HP:0000147	MSH:D011085	MSH
HP:0000147	SNOMEDCT_US:69878008	SNOMEDCT_US
HP:0000147	UMLS:C0032460	UMLS
HP:0000147	UMLS:C1136382	UMLS
HP:0000148	SNOMEDCT_US:87380008	SNOMEDCT_US
HP:0000148	UMLS:C1321884	UMLS
HP:0000149	SNOMEDCT_US:716594002	SNOMEDCT_US
HP:0000149	UMLS:C1518716	UMLS
HP:0000150	MSH:D018238	MSH
HP:0000150	SNOMEDCT_US:74751003	SNOMEDCT_US
HP:0000150	UMLS:C0206661	UMLS
HP:0000151	SNOMEDCT_US:248942000	SNOMEDCT_US
HP:0000151	UMLS:C0425913	UMLS
HP:0000152	UMLS:C4021817	UMLS
HP:0000153	MSH:D009056	MSH
HP:0000153	SNOMEDCT_US:128334002	SNOMEDCT_US
HP:0000153	UMLS:C0026633	UMLS
HP:0000154	MSH:D008265	MSH
HP:0000154	SNOMEDCT_US:40159009	SNOMEDCT_US
HP:0000154	UMLS:C0024433	UMLS
HP:0000155	MSH:D019226	MSH
HP:0000155	SNOMEDCT_US:26284000	SNOMEDCT_US
HP:0000155	UMLS:C0149745	UMLS
HP:0000157	UMLS:C0878638	UMLS
HP:0000158	MSH:D008260	MSH
HP:0000158	SNOMEDCT_US:25273001	SNOMEDCT_US
HP:0000158	UMLS:C0024421	UMLS
HP:0000159	UMLS:C2183966	UMLS
HP:0000160	MSH:D008865	MSH
HP:0000160	SNOMEDCT_US:14582003	SNOMEDCT_US
HP:0000160	UMLS:C0026034	UMLS
HP:0000161	UMLS:C1850256	UMLS
HP:0000162	MSH:D065710	MSH
HP:0000162	SNOMEDCT_US:3639002	SNOMEDCT_US
HP:0000162	UMLS:C0267048	UMLS
HP:0000162	UMLS:C4280678	UMLS
HP:0000163	UMLS:C4025887	UMLS
HP:0000164	MSH:D014071	MSH
HP:0000164	SNOMEDCT_US:422775003	SNOMEDCT_US
HP:0000164	UMLS:C0040427	UMLS
HP:0000164	UMLS:C0262444	UMLS
HP:0000166	UMLS:C4025886	UMLS
HP:0000168	UMLS:C4021816	UMLS
HP:0000169	MSH:C562884	MSH
HP:0000169	MSH:D005351	MSH
HP:0000169	SNOMEDCT_US:109620006	SNOMEDCT_US
HP:0000169	SNOMEDCT_US:58569000	SNOMEDCT_US
HP:0000169	UMLS:C0016049	UMLS
HP:0000169	UMLS:C0399440	UMLS
HP:0000169	UMLS:C4280677	UMLS
HP:0000171	MSH:D014060	MSH
HP:0000171	SNOMEDCT_US:249380003	SNOMEDCT_US
HP:0000171	SNOMEDCT_US:32614006	SNOMEDCT_US
HP:0000171	UMLS:C0025988	UMLS
HP:0000171	UMLS:C0426492	UMLS
HP:0000172	UMLS:C4025885	UMLS
HP:0000174	UMLS:C4021815	UMLS
HP:0000175	MSH:D002972	MSH
HP:0000175	SNOMEDCT_US:63567004	SNOMEDCT_US
HP:0000175	SNOMEDCT_US:87979003	SNOMEDCT_US
HP:0000175	UMLS:C0008925	UMLS
HP:0000175	UMLS:C2981150	UMLS
HP:0000176	SNOMEDCT_US:43437003	SNOMEDCT_US
HP:0000176	UMLS:C0432103	UMLS
HP:0000176	UMLS:C4020894	UMLS
HP:0000177	UMLS:C4025884	UMLS
HP:0000178	UMLS:C4025883	UMLS
HP:0000179	UMLS:C1839739	UMLS
HP:0000179	UMLS:C2053437	UMLS
HP:0000180	SNOMEDCT_US:253752000	SNOMEDCT_US
HP:0000180	UMLS:C0431564	UMLS
HP:0000182	UMLS:C4025882	UMLS
HP:0000183	UMLS:C1853406	UMLS
HP:0000183	UMLS:C4280676	UMLS
HP:0000185	MSH:C562950	MSH
HP:0000185	SNOMEDCT_US:253997002	SNOMEDCT_US
HP:0000185	UMLS:C0432098	UMLS
HP:0000187	UMLS:C1857500	UMLS
HP:0000187	UMLS:C4280675	UMLS
HP:0000188	UMLS:C1848977	UMLS
HP:0000189	UMLS:C1398312	UMLS
HP:0000190	UMLS:C4025881	UMLS
HP:0000191	UMLS:C4021814	UMLS
HP:0000193	SNOMEDCT_US:18910001	SNOMEDCT_US
HP:0000193	UMLS:C0266122	UMLS
HP:0000194	SNOMEDCT_US:262016004	SNOMEDCT_US
HP:0000194	UMLS:C0240379	UMLS
HP:0000196	UMLS:C1861544	UMLS
HP:0000197	UMLS:C4025880	UMLS
HP:0000198	UMLS:C1858569	UMLS
HP:0000198	UMLS:C4280674	UMLS
HP:0000199	UMLS:C0241438	UMLS
HP:0000200	SNOMEDCT_US:249388005	SNOMEDCT_US
HP:0000200	UMLS:C0426501	UMLS
HP:0000200	UMLS:C4280673	UMLS
HP:0000201	MSH:D010855	MSH
HP:0000201	SNOMEDCT_US:4602007	SNOMEDCT_US
HP:0000201	UMLS:C0031900	UMLS
HP:0000202	SNOMEDCT_US:253983005	SNOMEDCT_US
HP:0000202	SNOMEDCT_US:66948001	SNOMEDCT_US
HP:0000202	UMLS:C0158646	UMLS
HP:0000202	UMLS:C4021813	UMLS
HP:0000204	MSH:D002971	MSH
HP:0000204	SNOMEDCT_US:80281008	SNOMEDCT_US
HP:0000204	UMLS:C0008924	UMLS
HP:0000205	UMLS:C1832130	UMLS
HP:0000206	MSH:D005928	MSH
HP:0000206	SNOMEDCT_US:45534005	SNOMEDCT_US
HP:0000206	UMLS:C0017675	UMLS
HP:0000207	UMLS:C1849341	UMLS
HP:0000211	MSH:D014313	MSH
HP:0000211	SNOMEDCT_US:87866006	SNOMEDCT_US
HP:0000211	UMLS:C0041105	UMLS
HP:0000211	UMLS:C1848474	UMLS
HP:0000211	UMLS:C4228933	UMLS
HP:0000211	UMLS:C4280672	UMLS
HP:0000212	MSH:D005885	MSH
HP:0000212	MSH:D005886	MSH
HP:0000212	MSH:D019214	MSH
HP:0000212	SNOMEDCT_US:441787004	SNOMEDCT_US
HP:0000212	SNOMEDCT_US:441798003	SNOMEDCT_US
HP:0000212	SNOMEDCT_US:54711002	SNOMEDCT_US
HP:0000212	UMLS:C0017566	UMLS
HP:0000212	UMLS:C0017567	UMLS
HP:0000212	UMLS:C0376480	UMLS
HP:0000214	UMLS:C1857697	UMLS
HP:0000214	UMLS:C4280670	UMLS
HP:0000214	UMLS:C4280671	UMLS
HP:0000215	UMLS:C1846423	UMLS
HP:0000216	UMLS:C1839276	UMLS
HP:0000217	MSH:D014987	MSH
HP:0000217	SNOMEDCT_US:300268000	SNOMEDCT_US
HP:0000217	SNOMEDCT_US:56893005	SNOMEDCT_US
HP:0000217	SNOMEDCT_US:87715008	SNOMEDCT_US
HP:0000217	UMLS:C0043352	UMLS
HP:0000218	SNOMEDCT_US:27272007	SNOMEDCT_US
HP:0000218	UMLS:C0240635	UMLS
HP:0000219	UMLS:C1865017	UMLS
HP:0000220	MSH:D014681	MSH
HP:0000220	SNOMEDCT_US:229727006	SNOMEDCT_US
HP:0000220	SNOMEDCT_US:232416001	SNOMEDCT_US
HP:0000220	SNOMEDCT_US:278714002	SNOMEDCT_US
HP:0000220	UMLS:C0042454	UMLS
HP:0000220	UMLS:C4280669	UMLS
HP:0000221	MSH:D014063	MSH
HP:0000221	SNOMEDCT_US:52368004	SNOMEDCT_US
HP:0000221	UMLS:C0040412	UMLS
HP:0000222	UMLS:C1857013	UMLS
HP:0000223	UMLS:C4025879	UMLS
HP:0000224	MSH:D000370	MSH
HP:0000224	SNOMEDCT_US:697990000	SNOMEDCT_US
HP:0000224	UMLS:C0151934	UMLS
HP:0000225	MSH:D005884	MSH
HP:0000225	SNOMEDCT_US:86276007	SNOMEDCT_US
HP:0000225	UMLS:C0017565	UMLS
HP:0000227	UMLS:C4025878	UMLS
HP:0000227	UMLS:C4280668	UMLS
HP:0000228	UMLS:C4025877	UMLS
HP:0000228	UMLS:C4280667	UMLS
HP:0000230	MSH:D005891	MSH
HP:0000230	SNOMEDCT_US:66383009	SNOMEDCT_US
HP:0000230	UMLS:C0017574	UMLS
HP:0000232	UMLS:C1853246	UMLS
HP:0000232	UMLS:C1866234	UMLS
HP:0000233	SNOMEDCT_US:301348000	SNOMEDCT_US
HP:0000233	UMLS:C0578038	UMLS
HP:0000234	UMLS:C4021812	UMLS
HP:0000235	UMLS:C4025876	UMLS
HP:0000236	UMLS:C4025875	UMLS
HP:0000237	UMLS:C1859455	UMLS
HP:0000238	MSH:D006849	MSH
HP:0000238	SNOMEDCT_US:230745008	SNOMEDCT_US
HP:0000238	UMLS:C0020255	UMLS
HP:0000239	SNOMEDCT_US:276709006	SNOMEDCT_US
HP:0000239	UMLS:C0456132	UMLS
HP:0000239	UMLS:C4072820	UMLS
HP:0000239	UMLS:C4072821	UMLS
HP:0000239	UMLS:C4072822	UMLS
HP:0000240	UMLS:C4025874	UMLS
HP:0000242	UMLS:C1857126	UMLS
HP:0000243	MSH:D003398	MSH
HP:0000243	SNOMEDCT_US:28740008	SNOMEDCT_US
HP:0000243	UMLS:C0265535	UMLS
HP:0000243	UMLS:C4280665	UMLS
HP:0000243	UMLS:C4280666	UMLS
HP:0000244	UMLS:C1857484	UMLS
HP:0000245	UMLS:C4025873	UMLS
HP:0000246	MSH:D010254	MSH
HP:0000246	MSH:D012852	MSH
HP:0000246	SNOMEDCT_US:36971009	SNOMEDCT_US
HP:0000246	SNOMEDCT_US:7393007	SNOMEDCT_US
HP:0000246	UMLS:C0030469	UMLS
HP:0000246	UMLS:C0037199	UMLS
HP:0000248	MSH:D003398	MSH
HP:0000248	SNOMEDCT_US:13649004	SNOMEDCT_US
HP:0000248	UMLS:C0221356	UMLS
HP:0000248	UMLS:C4072823	UMLS
HP:0000248	UMLS:C4072824	UMLS
HP:0000250	UMLS:C1854834	UMLS
HP:0000252	SNOMEDCT_US:271611007	SNOMEDCT_US
HP:0000252	UMLS:C0424688	UMLS
HP:0000253	UMLS:C1850456	UMLS
HP:0000255	SNOMEDCT_US:15805002	SNOMEDCT_US
HP:0000255	UMLS:C0149512	UMLS
HP:0000256	UMLS:C4083076	UMLS
HP:0000256	UMLS:C4255213	UMLS
HP:0000256	UMLS:C4280663	UMLS
HP:0000256	UMLS:C4280664	UMLS
HP:0000260	UMLS:C1866134	UMLS
HP:0000262	MSH:D003398	MSH
HP:0000262	SNOMEDCT_US:48069004	SNOMEDCT_US
HP:0000262	UMLS:C0030044	UMLS
HP:0000263	MSH:D003398	MSH
HP:0000263	SNOMEDCT_US:48069004	SNOMEDCT_US
HP:0000263	UMLS:C0030044	UMLS
HP:0000264	UMLS:C4025872	UMLS
HP:0000265	MSH:D008417	MSH
HP:0000265	SNOMEDCT_US:52404001	SNOMEDCT_US
HP:0000265	UMLS:C0024904	UMLS
HP:0000267	UMLS:C1860245	UMLS
HP:0000267	UMLS:C4280258	UMLS
HP:0000267	UMLS:C4280657	UMLS
HP:0000267	UMLS:C4280658	UMLS
HP:0000267	UMLS:C4280659	UMLS
HP:0000267	UMLS:C4280660	UMLS
HP:0000267	UMLS:C4280661	UMLS
HP:0000267	UMLS:C4280662	UMLS
HP:0000268	SNOMEDCT_US:72239002	SNOMEDCT_US
HP:0000268	UMLS:C0221358	UMLS
HP:0000268	UMLS:C4280653	UMLS
HP:0000268	UMLS:C4280654	UMLS
HP:0000268	UMLS:C4280655	UMLS
HP:0000268	UMLS:C4280656	UMLS
HP:0000269	UMLS:C1853737	UMLS
HP:0000269	UMLS:C4280652	UMLS
HP:0000270	SNOMEDCT_US:82779003	SNOMEDCT_US
HP:0000270	UMLS:C0277828	UMLS
HP:0000271	SNOMEDCT_US:118930001	SNOMEDCT_US
HP:0000271	SNOMEDCT_US:32003007	SNOMEDCT_US
HP:0000271	SNOMEDCT_US:398206004	SNOMEDCT_US
HP:0000271	SNOMEDCT_US:398302004	SNOMEDCT_US
HP:0000271	UMLS:C0266617	UMLS
HP:0000271	UMLS:C1290857	UMLS
HP:0000271	UMLS:C4025871	UMLS
HP:0000272	UMLS:C1858085	UMLS
HP:0000272	UMLS:C4280651	UMLS
HP:0000273	SNOMEDCT_US:37126005	SNOMEDCT_US
HP:0000273	UMLS:C0234853	UMLS
HP:0000274	UMLS:C1855538	UMLS
HP:0000275	UMLS:C1837463	UMLS
HP:0000275	UMLS:C1849121	UMLS
HP:0000276	UMLS:C1836047	UMLS
HP:0000277	UMLS:C4025870	UMLS
HP:0000278	MSH:D063173	MSH
HP:0000278	UMLS:C3494422	UMLS
HP:0000280	UMLS:C1845847	UMLS
HP:0000280	UMLS:C4072825	UMLS
HP:0000282	SNOMEDCT_US:445088006	SNOMEDCT_US
HP:0000282	UMLS:C0542571	UMLS
HP:0000283	UMLS:C1859680	UMLS
HP:0000286	UMLS:C0678230	UMLS
HP:0000287	UMLS:C4025868	UMLS
HP:0000287	UMLS:C4280649	UMLS
HP:0000287	UMLS:C4280650	UMLS
HP:0000288	UMLS:C1857045	UMLS
HP:0000289	UMLS:C1854111	UMLS
HP:0000290	UMLS:C4025867	UMLS
HP:0000291	UMLS:C4025866	UMLS
HP:0000292	UMLS:C1837767	UMLS
HP:0000293	UMLS:C1866231	UMLS
