id,struct_id,concept_id,relationship_name,concept_name,umls_cui,snomed_full_name,cui_semantic_type,snomed_conceptid
132576,5087,21000474,indication,Primary cutaneous T-cell lymphoma,C0079773,Primary cutaneous T-cell lymphoma,T191,400122007
132577,5088,21002686,indication,Plaque psoriasis,C0406317,Plaque psoriasis,T047,200965009
132578,5089,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132579,5089,40249139,indication,Juvenile idiopathic arthritis,C3495559,Juvenile idiopathic arthritis,T047,410502007
132580,1867,21000765,indication,Cystic fibrosis,C0010674,Cystic fibrosis,T047,190905008
132581,5090,21000225,indication,Falciparum malaria,C0024535,Falciparum malaria,T047,62676009
132582,311,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132583,1203,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132584,5064,21002627,indication,Seborrheic dermatitis,C0036508,Seborrheic dermatitis,T047,50563003
132585,5066,40249251,indication,Acute myocardial infarction,C0155626,Acute myocardial infarction,T047,57054005
132586,5067,21000480,indication,Multiple myeloma,C0026764,Multiple myeloma,T191,109989006
132587,5068,40249061,indication,Partial seizure,C0014547,Partial seizure,T047,29753000
132588,5063,21000480,indication,Multiple myeloma,C0026764,Multiple myeloma,T191,109989006
132589,5069,21013851,indication,Acquired factor VIII deficiency disease,C0272325,Acquired factor VIII deficiency disease,T047,14230004
132590,5070,21000482,indication,Acute lymphoid leukemia,C0023449,Acute lymphoid leukemia,T191,91857003
132591,4923,40249200,indication,Metastatic renal cell carcinoma,C0278678,Metastatic renal cell carcinoma,T191,702392008
132592,5071,21000523,indication,Non-small cell lung cancer,C0007131,Non-small cell lung cancer,T191,254637007
132593,2560,40249262,indication,Spinocerebellar disease,C0037952,Spinocerebellar disease,T047,91502009
132594,4904,40249263,indication,Hidradenitis suppurativa,C0162836,Hidradenitis suppurativa,T047,59393003
132595,5072,21000480,indication,Multiple myeloma,C0026764,Multiple myeloma,T191,109989006
132596,1141,21002811,indication,Osteoarthritis,C0029408,Osteoarthritis,T047,396275006
132597,1141,21003079,indication,Pain,C0030193,Pain,T184,22253000
132598,982,40249265,indication,Stargardt's disease,C0271093,Stargardt's disease,T033,70099003
132599,5073,21002035,indication,Peptic ulcer,C0030920,Peptic ulcer,T047,13200003
132600,3704,21001022,indication,Depressive disorder,C0011581,Depressive disorder,T048,35489007
132601,1008,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003
132602,4374,21000789,indication,Obesity,C0028754,Obesity,T047,414916001
132603,5029,40249264,indication,Antimetabolite overdose,C0572583,Antimetabolite overdose,T037,295696001
132604,5075,21003276,indication,Hyperuricemia,C0740394,Hyperuricemia,T047,35885006
132605,107,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132606,107,21003079,indication,Pain,C0030193,Pain,T184,22253000
132607,2206,21001022,indication,Depressive disorder,C0011581,Depressive disorder,T048,35489007
132608,5046,21000439,indication,Metastatic malignant melanoma,C0860594,Metastatic malignant melanoma,T191,443493003
132609,231,21001575,indication,Supraventricular arrhythmia,C0428974,Supraventricular arrhythmia,T046,72654001
132610,231,21001574,indication,Ventricular arrhythmia,C0085612,Ventricular arrhythmia,T046,44103008
132611,72,21001105,indication,Epilepsy,C0014544,Epilepsy,T047,84757009
132612,5047,40249252,indication,Diabetic dyslipidemia associated with type 2 diabetes mellitus,C3661933,Diabetic dyslipidemia associated with type 2 diabetes mellitus,T047,761000119102
132613,5048,21001119,indication,Narcolepsy,C0027404,Narcolepsy,T047,60380001
132614,5049,40249253,indication,Hypophosphatasia,C0020630,Hypophosphatasia,T047,190859005
132615,1002,21003079,indication,Pain,C0030193,Pain,T184,22253000
132616,5050,40249254,indication,Antimicrobial substance,C1136254,Antimicrobial substance,T121,250428009
132617,5051,40249255,indication,"Dupuytren's disease of finger, with contracture",C0410065,"Dupuytren's disease of finger, with contracture",T047,203051006
132618,5051,21002384,indication,Induratio penis plastica,C0030848,Induratio penis plastica,T047,1335005
132619,2491,40248973,indication,Postoperative pain,C0030201,Postoperative pain,T184,213299007
132620,4924,21000523,indication,Non-small cell lung cancer,C0007131,Non-small cell lung cancer,T191,254637007
132621,569,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003
132622,569,21001460,indication,Angina pectoris,C0002962,Angina pectoris,T033,194828000
132623,1510,40249256,indication,Raynaud's disease,C0034734,Raynaud's disease,T047,195295006
132624,3186,21002059,indication,Indigestion,C0013395,Indigestion,T184,162031009
132625,1900,40249073,indication,Non-productive cough,C0850149,Non-productive cough,T184,409596002
132626,1777,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003
132627,164,40249213,indication,Secondary malignant neoplasm of female breast,C0346993,Secondary malignant neoplasm of female breast,T191,94297009
132628,5022,40249236,indication,Lack or loss of sexual desire,C0020594,Lack or loss of sexual desire,T048,270903007
132629,5022,40249237,contraindication,Decreased liver function,C0232744,Decreased liver function,T033,77981007
132630,5024,40249239,indication,Degeneration of intervertebral disc,C0158266,Degeneration of intervertebral disc,T047,77547008
132631,5024,40249240,indication,Fracture of tibia,C0040185,Fracture of tibia,T037,31978002
132632,5025,21013444,indication,Chemotherapy-induced neutropenia,C1827687,Chemotherapy-induced neutropenia,T037,425229001
132633,5026,21000878,indication,Thrombocytopenic disorder,C0040034,Thrombocytopenic disorder,T033,302215000
132634,5000,21008593,indication,Familial hypercholesterolemia - heterozygous,C0342882,Familial hypercholesterolemia - heterozygous,T019,238079002
132635,5000,21000702,indication,Familial hypercholesterolemia - homozygous,C0342881,Familial hypercholesterolemia - homozygous,T019,238078005
132636,295,21001204,indication,Ocular hypertension,C0028840,Ocular hypertension,T047,4210003
132637,295,21001205,indication,Open-angle glaucoma,C0017612,Open-angle glaucoma,T047,84494001
132638,5027,40249135,indication,Chemotherapy-induced nausea and vomiting,C0401160,Chemotherapy-induced nausea and vomiting,T046,236084000
132639,2193,21000948,indication,Schizophrenia,C0036341,Schizophrenia,T048,58214004
132640,1211,21000948,indication,Schizophrenia,C0036341,Schizophrenia,T048,58214004
132641,2112,21000948,indication,Schizophrenia,C0036341,Schizophrenia,T048,58214004
132642,945,21003217,indication,Nausea and vomiting,C0027498,Nausea and vomiting,T184,16932000
132643,516,21000949,indication,Chronic schizophrenia,C0221765,Chronic schizophrenia,T048,83746006
132644,1712,21000948,indication,Schizophrenia,C0036341,Schizophrenia,T048,58214004
132645,1222,21000948,indication,Schizophrenia,C0036341,Schizophrenia,T048,58214004
132646,5016,21000701,indication,Hypercholesterolemia,C0020443,Hypercholesterolemia,T047,13644009
132647,5016,40249223,indication,Complex dyslipidemia,C3875286,Complex dyslipidemia,T047,109041000119107
132648,5016,21008593,indication,Familial hypercholesterolemia - heterozygous,C0342882,Familial hypercholesterolemia - heterozygous,T019,238079002
132649,5016,40249233,indication,Atherosclerosis,C0004153,Atherosclerosis,T047,38716007
132650,5017,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132651,5017,40249187,indication,Cryopyrin associated periodic syndrome,C2316212,Cryopyrin associated periodic syndrome,T047,430079001
132652,5017,40249234,indication,"Chronic infantile neurological, cutaneous and articular syndrome",C0409818,"Chronic infantile neurological, cutaneous and articular syndrome",T047,239826001
132653,5018,40249235,indication,Fabry's disease,C0002986,Fabry's disease,T047,16652001
132654,5019,21000848,indication,Hereditary factor VIII deficiency disease,C0019069,Hereditary factor VIII deficiency disease,T047,28293008
132655,4147,21012052,indication,Magnetic resonance imaging,C0024485,Magnetic resonance imaging,T060,113091000
132656,5020,40249064,indication,Antiseptic preparation,C0443072,Antiseptic preparation,T121,261276004
132657,5021,40249235,indication,Fabry's disease,C0002986,Fabry's disease,T047,16652001
132658,5012,21001578,indication,Chronic heart failure,C0264716,Chronic heart failure,T047,48447003
132659,5013,21000594,indication,Diabetes mellitus type 2,C0011860,Diabetes mellitus type 2,T047,44054006
132660,2200,21002035,indication,Peptic ulcer,C0030920,Peptic ulcer,T047,13200003
132661,3377,21002896,indication,Osteoporosis,C0029456,Osteoporosis,T047,64859006
132662,1431,21002896,indication,Osteoporosis,C0029456,Osteoporosis,T047,64859006
132663,3052,21002896,indication,Osteoporosis,C0029456,Osteoporosis,T047,64859006
132857,2595,21002816,indication,Arthritis,C0003864,Arthritis,T047,3723001
132664,3377,21000551,indication,Humoral hypercalcemia of malignancy,C0149911,Humoral hypercalcemia of malignancy,T047,47709007
132665,5014,21000948,indication,Schizophrenia,C0036341,Schizophrenia,T048,58214004
132666,5014,21000952,indication,Major depressive disorder,C1269683,Major depressive disorder,T048,370143000
132667,5015,21000613,indication,Acromegaly,C0001206,Acromegaly,T047,74107003
132668,1405,21001588,indication,Heart failure,C0018801,Heart failure,T047,84114007
132669,1402,21002035,indication,Peptic ulcer,C0030920,Peptic ulcer,T047,13200003
132670,4989,40249217,indication,Chronic non-neuropathic Gaucher's disease,C1961835,Chronic non-neuropathic Gaucher's disease,T047,62201009
132671,1999,21001054,indication,Parkinsonism,C0242422,Parkinsonism,T047,32798002
132672,4990,40249204,indication,HER2-positive carcinoma of breast,C1960398,HER2-positive carcinoma of breast,T191,427685000
132673,4991,21013444,indication,Chemotherapy-induced neutropenia,C1827687,Chemotherapy-induced neutropenia,T037,425229001
132674,1854,40249218,indication,Pneumonic plague,C0524688,Pneumonic plague,T047,38976008
132675,1854,40249219,indication,Septicemic plague,C0152936,Septicemic plague,T047,9012003
132676,4994,21003276,indication,Hyperuricemia,C0740394,Hyperuricemia,T047,35885006
132677,4424,40249220,indication,Candidiasis of vagina,C0006852,Candidiasis of vagina,T047,72934000
132678,4848,21002946,indication,Prader-Willi syndrome,C0032897,Prader-Willi syndrome,T019,89392001
132679,4848,21000617,indication,Pituitary dwarfism,C0013338,Pituitary dwarfism,T047,367460001
132680,4848,21002944,indication,Turner syndrome,C0041408,Turner syndrome,T019,38804009
132681,4995,40249039,indication,Anemia in chronic kidney disease,C1561828,Anemia in chronic kidney disease,T047,707323002
132682,4995,40249221,indication,Anemia due to chemotherapy,C1998329,Anemia due to chemotherapy,T037,429564000
132683,4996,21013924,indication,Chronic idiopathic thrombocytopenic purpura,C0272293,Chronic idiopathic thrombocytopenic purpura,T047,13172003
132684,4997,40249222,indication,"Mucopolysaccharidosis, MPS-I",C0023786,"Mucopolysaccharidosis, MPS-I",T047,75610003
132685,4998,21003119,indication,Skin irritation,C0152030,Skin irritation,T184,367466007
132686,4999,40249224,indication,"Mucopolysaccharidosis, MPS-IV-A",C0086651,"Mucopolysaccharidosis, MPS-IV-A",T047,7259005
132687,5000,21000701,indication,Hypercholesterolemia,C0020443,Hypercholesterolemia,T047,13644009
132688,5000,40249223,indication,Complex dyslipidemia,C3875286,Complex dyslipidemia,T047,109041000119107
132689,471,40249137,indication,Gastro-esophageal reflux disease with esophagitis,C0677659,Gastro-esophageal reflux disease with esophagitis,T047,266433003
132690,2853,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003
132691,2853,21003125,indication,Edema,C0013604,Edema,T046,267038008
132692,1618,21002811,indication,Osteoarthritis,C0029408,Osteoarthritis,T047,396275006
132693,266,21002811,indication,Osteoarthritis,C0029408,Osteoarthritis,T047,396275006
132694,266,21000716,indication,Gout,C0018099,Gout,T047,90560007
132695,266,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132696,266,21002827,indication,Ankylosing spondylitis,C0038013,Ankylosing spondylitis,T047,9631008
132697,4986,21013444,indication,Chemotherapy-induced neutropenia,C1827687,Chemotherapy-induced neutropenia,T037,425229001
132698,4987,21013444,indication,Chemotherapy-induced neutropenia,C1827687,Chemotherapy-induced neutropenia,T037,425229001
132699,4987,21000893,indication,Congenital neutropenia,C0340970,Congenital neutropenia,T019,89655007
132700,4987,40249215,indication,Cyclical neutropenia,C0221023,Cyclical neutropenia,T047,191347008
132701,4987,40249216,indication,Chronic idiopathic neutropenia,C2267231,Chronic idiopathic neutropenia,T047,248693006
132702,1193,21003079,indication,Pain,C0030193,Pain,T184,22253000
132703,2093,21002035,indication,Peptic ulcer,C0030920,Peptic ulcer,T047,13200003
132704,2093,40249211,indication,Gastric spasm,C0581358,Gastric spasm,T184,196754001
132705,2226,21002035,indication,Peptic ulcer,C0030920,Peptic ulcer,T047,13200003
132706,1778,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003
132707,3312,21001578,indication,Chronic heart failure,C0264716,Chronic heart failure,T047,48447003
132708,4976,21002715,indication,Alopecia areata,C0002171,Alopecia areata,T047,68225006
132709,4976,21002671,indication,Discoid lupus erythematosus,C0024138,Discoid lupus erythematosus,T047,200938002
132710,4976,21002705,indication,Keloid scar,C0022548,Keloid scar,T020,33659008
132711,4976,21002687,indication,Lichen planus,C0023646,Lichen planus,T047,4776004
132712,4976,21002692,indication,Lichen simplex chronicus,C0149922,Lichen simplex chronicus,T047,53891004
132713,4976,21002757,indication,Necrobiosis lipoidica diabeticorum,C0392445,Necrobiosis lipoidica diabeticorum,T047,56391002
132714,4976,21000873,contraindication,Idiopathic thrombocytopenic purpura,C0043117,Idiopathic thrombocytopenic purpura,T047,32273002
132715,4977,40249172,indication,Angiofollicular lymph node hyperplasia,C0017531,Angiofollicular lymph node hyperplasia,T047,207036003
132716,196,21001119,indication,Narcolepsy,C0027404,Narcolepsy,T047,60380001
132717,4978,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004
132718,4978,40249139,indication,Juvenile idiopathic arthritis,C3495559,Juvenile idiopathic arthritis,T047,410502007
132719,4978,21002682,indication,Psoriasis with arthropathy,C0003872,Psoriasis with arthropathy,T047,33339001
132720,4978,21002827,indication,Ankylosing spondylitis,C0038013,Ankylosing spondylitis,T047,9631008
132721,4978,21002686,indication,Plaque psoriasis,C0406317,Plaque psoriasis,T047,200965009
132722,4978,40249212,contraindication,Sepsis,C0243026,Sepsis,T047,91302008
132723,3531,21001876,indication,Severe chronic obstructive pulmonary disease,C0730607,Severe chronic obstructive pulmonary disease,T047,313299006
132724,4979,40249204,indication,HER2-positive carcinoma of breast,C1960398,HER2-positive carcinoma of breast,T191,427685000
132725,4941,40249175,indication,Human epidermal growth factor 2 negative carcinoma of breast,C2316304,Human epidermal growth factor 2 negative carcinoma of breast,T191,431396003
132726,4941,21012339,indication,Hormone receptor positive malignant neoplasm of breast,C1562029,Hormone receptor positive malignant neoplasm of breast,T191,417181009
132727,4942,40249176,indication,Follicular thyroid carcinoma,C0206682,Follicular thyroid carcinoma,T191,255028004
132728,4942,40249177,indication,Papillary thyroid carcinoma,C0238463,Papillary thyroid carcinoma,T191,255029007
132729,4943,21011215,indication,Chronic obstructive lung disease,C0024117,Chronic obstructive lung disease,T047,13645005
132730,4943,21001847,indication,Chronic bronchitis,C0008677,Chronic bronchitis,T047,63480004
132731,4943,21001855,indication,Pulmonary emphysema,C0034067,Pulmonary emphysema,T047,87433001
132732,4829,21002686,indication,Plaque psoriasis,C0406317,Plaque psoriasis,T047,200965009
132733,4944,21000157,indication,Human immunodeficiency virus infection,C0019693,Human immunodeficiency virus infection,T047,86406008
132734,1021,40249178,indication,Diabetic neuropathy,C0011882,Diabetic neuropathy,T047,230572002
132735,4682,21000480,indication,Multiple myeloma,C0026764,Multiple myeloma,T191,109989006
132736,4946,21002272,indication,Pyelonephritis,C0034186,Pyelonephritis,T047,45816000
132737,4946,21013433,indication,Bacterial urinary infection,C0729524,Bacterial urinary infection,T047,312124009
132738,4946,21002159,indication,Infectious disease of abdomen,C1112209,Infectious disease of abdomen,T047,128070006
132739,1137,21003276,indication,Hyperuricemia,C0740394,Hyperuricemia,T047,35885006
132740,4110,40249179,indication,"Polycystic kidney disease, adult type",C0085413,"Polycystic kidney disease, adult type",T047,28728008
132741,4923,40249180,indication,Squamous cell carcinoma of lung,C0149782,Squamous cell carcinoma of lung,T191,254634000
132742,2594,21000398,indication,Infection by Trichomonas,C0040921,Infection by Trichomonas,T047,56335008
132743,166,40249181,indication,Fluorescent stain,C0303920,Fluorescent stain,T130,35352008
132744,2408,21001999,indication,Gastroesophageal reflux disease,C0017168,Gastroesophageal reflux disease,T047,235595009
132745,2408,21000608,indication,Zollinger-Ellison syndrome,C0043515,Zollinger-Ellison syndrome,T047,53132006
132746,4918,40249159,indication,"Mucopolysaccharidosis, MPS-II",C0026705,"Mucopolysaccharidosis, MPS-II",T047,70737009
132747,4919,40249064,indication,Antiseptic preparation,C0443072,Antiseptic preparation,T121,261276004
132748,3881,21003079,indication,Pain,C0030193,Pain,T184,22253000
132749,77,21001283,indication,Allergic conjunctivitis,C0009766,Allergic conjunctivitis,T047,473460002
132750,2570,21001283,indication,Allergic conjunctivitis,C0009766,Allergic conjunctivitis,T047,473460002
132751,4920,40249160,indication,Acute otitis externa,C0149948,Acute otitis externa,T047,30250000
132752,343,21013784,indication,Pulmonary arterial hypertension,C2973725,Pulmonary arterial hypertension,T047,11399002
132753,4921,21001057,indication,Parkinson's disease,C0030567,Parkinson's disease,T047,49049000
132754,4922,21002320,indication,Urinary tract infectious disease,C0042029,Urinary tract infectious disease,T047,68566005
132755,4922,21002159,indication,Infectious disease of abdomen,C1112209,Infectious disease of abdomen,T047,128070006
132756,1166,21000322,indication,Candidal vulvovaginitis,C0700345,Candidal vulvovaginitis,T047,72605008
