struct_id	relationship_name	disease_name	umls_cui	snomed_conceptid
4715	indication	Renal cell carcinoma	C0007134	702391001
5122	indication	Iron supplement therapy	C3537005	438911000124105
5143	indication	Parkinson's disease	C0030567	49049000
5144	indication	Urinary bladder stone	C0005683	70650003
5145	indication	Respiratory tract infection	C0035243	275498002
5145	indication	Bacterial infection of skin	C0162627	128936008
1131	indication	Bacterial infection of skin	C0162627	128936008
1131	indication	Respiratory tract infection	C0035243	275498002
1957	indication	Contraception	C0700589	13197004
5146	indication	Magnetic resonance imaging	C0024485	113091000
5148	indication	Respiratory distress syndrome in the newborn	C0035220	46775006
2558	indication	Parkinson's disease	C0030567	49049000
5133	indication	Chronic lymphoid leukemia, disease	C0023434	92814006
5134	indication	Hereditary factor XIII A subunit deficiency	C2584877	439455002
5135	indication	Cystic fibrosis	C0010674	190905008
1593	indication	Opioid withdrawal	C0029104	87132004
4171	indication	Liposarcoma	C0023827	254829001
5082	indication	Acute lymphoid leukemia	C0023449	91857003
5080	indication	Chronic hepatitis C	C0524910	128302006
5081	indication	Chronic hepatitis C	C0524910	128302006
2019	indication	Migraine	C0149931	37796009
2345	indication	Postcoital contraception	C0419527	268463003
3871	indication	Falciparum malaria	C0024535	62676009
5083	indication	Plaque psoriasis	C0406317	200965009
5084	indication	Hereditary factor IX deficiency disease	C0008533	41788008
1178	indication	Acute pain	C0184567	274663001
5086	indication	Nuclear medicine imaging procedure	C0034606	373205008
60	indication	Acute diarrhea	C0740441	409966000
1132	indication	Cerebral ischemia	C0917798	287731003
5087	indication	Primary cutaneous T-cell lymphoma	C0079773	400122007
5088	indication	Plaque psoriasis	C0406317	200965009
5089	indication	Rheumatoid arthritis	C0003873	69896004
5089	indication	Juvenile idiopathic arthritis	C3495559	410502007
1867	indication	Cystic fibrosis	C0010674	190905008
5090	indication	Falciparum malaria	C0024535	62676009
311	indication	Rheumatoid arthritis	C0003873	69896004
1203	indication	Rheumatoid arthritis	C0003873	69896004
5064	indication	Seborrheic dermatitis	C0036508	50563003
5066	indication	Acute myocardial infarction	C0155626	57054005
5067	indication	Multiple myeloma	C0026764	109989006
5068	indication	Partial seizure	C0014547	29753000
5063	indication	Multiple myeloma	C0026764	109989006
5069	indication	Acquired factor VIII deficiency disease	C0272325	14230004
5070	indication	Acute lymphoid leukemia	C0023449	91857003
4923	indication	Metastatic renal cell carcinoma	C0278678	702392008
5071	indication	Non-small cell lung cancer	C0007131	254637007
2560	indication	Spinocerebellar disease	C0037952	91502009
4904	indication	Hidradenitis suppurativa	C0162836	59393003
5072	indication	Multiple myeloma	C0026764	109989006
1141	indication	Osteoarthritis	C0029408	396275006
1141	indication	Pain	C0030193	22253000
982	indication	Stargardt's disease	C0271093	70099003
5073	indication	Peptic ulcer	C0030920	13200003
3704	indication	Depressive disorder	C0011581	35489007
1008	indication	Hypertensive disorder	C0020538	38341003
4374	indication	Obesity	C0028754	414916001
5029	indication	Antimetabolite overdose	C0572583	295696001
5075	indication	Hyperuricemia	C0740394	35885006
107	indication	Rheumatoid arthritis	C0003873	69896004
107	indication	Pain	C0030193	22253000
2206	indication	Depressive disorder	C0011581	35489007
5046	indication	Metastatic malignant melanoma	C0860594	443493003
231	indication	Supraventricular arrhythmia	C0428974	72654001
231	indication	Ventricular arrhythmia	C0085612	44103008
72	indication	Epilepsy	C0014544	84757009
5047	indication	Diabetic dyslipidemia associated with type 2 diabetes mellitus	C3661933	761000119102
5048	indication	Narcolepsy	C0027404	60380001
5049	indication	Hypophosphatasia	C0020630	190859005
1002	indication	Pain	C0030193	22253000
5050	indication	Antimicrobial substance	C1136254	250428009
5051	indication	Dupuytren's disease of finger, with contracture	C0410065	203051006
5051	indication	Induratio penis plastica	C0030848	1335005
2491	indication	Postoperative pain	C0030201	213299007
4924	indication	Non-small cell lung cancer	C0007131	254637007
569	indication	Hypertensive disorder	C0020538	38341003
569	indication	Angina pectoris	C0002962	194828000
1510	indication	Raynaud's disease	C0034734	195295006
3186	indication	Indigestion	C0013395	162031009
1900	indication	Non-productive cough	C0850149	409596002
1777	indication	Hypertensive disorder	C0020538	38341003
164	indication	Secondary malignant neoplasm of female breast	C0346993	94297009
5022	indication	Lack or loss of sexual desire	C0020594	270903007
5022	contraindication	Decreased liver function	C0232744	77981007
5024	indication	Degeneration of intervertebral disc	C0158266	77547008
5024	indication	Fracture of tibia	C0040185	31978002
5025	indication	Chemotherapy-induced neutropenia	C1827687	425229001
5026	indication	Thrombocytopenic disorder	C0040034	302215000
5000	indication	Familial hypercholesterolemia - heterozygous	C0342882	238079002
5000	indication	Familial hypercholesterolemia - homozygous	C0342881	238078005
295	indication	Ocular hypertension	C0028840	4210003
295	indication	Open-angle glaucoma	C0017612	84494001
5027	indication	Chemotherapy-induced nausea and vomiting	C0401160	236084000
2193	indication	Schizophrenia	C0036341	58214004
1211	indication	Schizophrenia	C0036341	58214004
2112	indication	Schizophrenia	C0036341	58214004
945	indication	Nausea and vomiting	C0027498	16932000
516	indication	Chronic schizophrenia	C0221765	83746006
1712	indication	Schizophrenia	C0036341	58214004
1222	indication	Schizophrenia	C0036341	58214004
5016	indication	Hypercholesterolemia	C0020443	13644009
5016	indication	Complex dyslipidemia	C3875286	109041000119107
5016	indication	Familial hypercholesterolemia - heterozygous	C0342882	238079002
5016	indication	Atherosclerosis	C0004153	38716007
5017	indication	Rheumatoid arthritis	C0003873	69896004
5017	indication	Cryopyrin associated periodic syndrome	C2316212	430079001
5017	indication	Chronic infantile neurological, cutaneous and articular syndrome	C0409818	239826001
5018	indication	Fabry's disease	C0002986	16652001
5019	indication	Hereditary factor VIII deficiency disease	C0019069	28293008
4147	indication	Magnetic resonance imaging	C0024485	113091000
5020	indication	Antiseptic preparation	C0443072	261276004
5021	indication	Fabry's disease	C0002986	16652001
5012	indication	Chronic heart failure	C0264716	48447003
5013	indication	Diabetes mellitus type 2	C0011860	44054006
2200	indication	Peptic ulcer	C0030920	13200003
3377	indication	Osteoporosis	C0029456	64859006
1431	indication	Osteoporosis	C0029456	64859006
3052	indication	Osteoporosis	C0029456	64859006
2595	indication	Arthritis	C0003864	3723001
3377	indication	Humoral hypercalcemia of malignancy	C0149911	47709007
5014	indication	Schizophrenia	C0036341	58214004
5014	indication	Major depressive disorder	C1269683	370143000
5015	indication	Acromegaly	C0001206	74107003
1405	indication	Heart failure	C0018801	84114007
1402	indication	Peptic ulcer	C0030920	13200003
4989	indication	Chronic non-neuropathic Gaucher's disease	C1961835	62201009
1999	indication	Parkinsonism	C0242422	32798002
4990	indication	HER2-positive carcinoma of breast	C1960398	427685000
4991	indication	Chemotherapy-induced neutropenia	C1827687	425229001
1854	indication	Pneumonic plague	C0524688	38976008
1854	indication	Septicemic plague	C0152936	9012003
4994	indication	Hyperuricemia	C0740394	35885006
4424	indication	Candidiasis of vagina	C0006852	72934000
4848	indication	Prader-Willi syndrome	C0032897	89392001
4848	indication	Pituitary dwarfism	C0013338	367460001
4848	indication	Turner syndrome	C0041408	38804009
4995	indication	Anemia in chronic kidney disease	C1561828	707323002
4995	indication	Anemia due to chemotherapy	C1998329	429564000
4996	indication	Chronic idiopathic thrombocytopenic purpura	C0272293	13172003
4997	indication	Mucopolysaccharidosis, MPS-I	C0023786	75610003
4998	indication	Skin irritation	C0152030	367466007
4999	indication	Mucopolysaccharidosis, MPS-IV-A	C0086651	7259005
5000	indication	Hypercholesterolemia	C0020443	13644009
5000	indication	Complex dyslipidemia	C3875286	109041000119107
471	indication	Gastro-esophageal reflux disease with esophagitis	C0677659	266433003
2853	indication	Hypertensive disorder	C0020538	38341003
2853	indication	Edema	C0013604	267038008
1618	indication	Osteoarthritis	C0029408	396275006
266	indication	Osteoarthritis	C0029408	396275006
266	indication	Gout	C0018099	90560007
266	indication	Rheumatoid arthritis	C0003873	69896004
266	indication	Ankylosing spondylitis	C0038013	9631008
4986	indication	Chemotherapy-induced neutropenia	C1827687	425229001
4987	indication	Chemotherapy-induced neutropenia	C1827687	425229001
4987	indication	Congenital neutropenia	C0340970	89655007
4987	indication	Cyclical neutropenia	C0221023	191347008
4987	indication	Chronic idiopathic neutropenia	C2267231	248693006
1193	indication	Pain	C0030193	22253000
2093	indication	Peptic ulcer	C0030920	13200003
2093	indication	Gastric spasm	C0581358	196754001
2226	indication	Peptic ulcer	C0030920	13200003
1778	indication	Hypertensive disorder	C0020538	38341003
3312	indication	Chronic heart failure	C0264716	48447003
4976	indication	Alopecia areata	C0002171	68225006
4976	indication	Discoid lupus erythematosus	C0024138	200938002
4976	indication	Keloid scar	C0022548	33659008
4976	indication	Lichen planus	C0023646	4776004
4976	indication	Lichen simplex chronicus	C0149922	53891004
4976	indication	Necrobiosis lipoidica diabeticorum	C0392445	56391002
4976	contraindication	Idiopathic thrombocytopenic purpura	C0043117	32273002
4977	indication	Angiofollicular lymph node hyperplasia	C0017531	207036003
196	indication	Narcolepsy	C0027404	60380001
4978	indication	Rheumatoid arthritis	C0003873	69896004
4978	indication	Juvenile idiopathic arthritis	C3495559	410502007
4978	indication	Psoriasis with arthropathy	C0003872	33339001
4978	indication	Ankylosing spondylitis	C0038013	9631008
4978	indication	Plaque psoriasis	C0406317	200965009
4978	contraindication	Sepsis	C0243026	91302008
3531	indication	Severe chronic obstructive pulmonary disease	C0730607	313299006
4979	indication	HER2-positive carcinoma of breast	C1960398	427685000
4941	indication	Human epidermal growth factor 2 negative carcinoma of breast	C2316304	431396003
4941	indication	Hormone receptor positive malignant neoplasm of breast	C1562029	417181009
4942	indication	Follicular thyroid carcinoma	C0206682	255028004
4942	indication	Papillary thyroid carcinoma	C0238463	255029007
4943	indication	Chronic obstructive lung disease	C0024117	13645005
4943	indication	Chronic bronchitis	C0008677	63480004
4943	indication	Pulmonary emphysema	C0034067	87433001
4829	indication	Plaque psoriasis	C0406317	200965009
4944	indication	Human immunodeficiency virus infection	C0019693	86406008
1021	indication	Diabetic neuropathy	C0011882	230572002
4682	indication	Multiple myeloma	C0026764	109989006
4946	indication	Pyelonephritis	C0034186	45816000
4946	indication	Bacterial urinary infection	C0729524	312124009
4946	indication	Infectious disease of abdomen	C1112209	128070006
1137	indication	Hyperuricemia	C0740394	35885006
4110	indication	Polycystic kidney disease, adult type	C0085413	28728008
4923	indication	Squamous cell carcinoma of lung	C0149782	254634000
2594	indication	Infection by Trichomonas	C0040921	56335008
166	indication	Fluorescent stain	C0303920	35352008
2408	indication	Gastroesophageal reflux disease	C0017168	235595009
2408	indication	Zollinger-Ellison syndrome	C0043515	53132006
4918	indication	Mucopolysaccharidosis, MPS-II	C0026705	70737009
4919	indication	Antiseptic preparation	C0443072	261276004
3881	indication	Pain	C0030193	22253000
77	indication	Allergic conjunctivitis	C0009766	473460002
2570	indication	Allergic conjunctivitis	C0009766	473460002
4920	indication	Acute otitis externa	C0149948	30250000
343	indication	Pulmonary arterial hypertension	C2973725	11399002
4921	indication	Parkinson's disease	C0030567	49049000
4922	indication	Urinary tract infectious disease	C0042029	68566005
4922	indication	Infectious disease of abdomen	C1112209	128070006
1166	indication	Candidal vulvovaginitis	C0700345	72605008
3548	indication	Pulmonary arterial hypertension	C2973725	11399002
4923	indication	Metastatic malignant melanoma	C0860594	443493003
4164	indication	Weight loss	C0043096	89362005
4157	indication	Hypertensive disorder	C0020538	38341003
2655	indication	Postmenopausal osteoporosis	C0029458	102447009
4924	indication	Metastatic malignant melanoma	C0860594	443493003
2864	indication	Cough	C0010200	49727002
4150	indication	Obesity	C0028754	414916001
2361	indication	Major depressive disorder	C1269683	370143000
362	indication	Hypercholesterolemia	C0020443	13644009
4516	indication	Cosyntropin preparation	C0010192	126188005
2658	indication	Hypertensive disorder	C0020538	38341003
4145	indication	Age related macular degeneration	C0242383	267718000
4145	indication	Tear film insufficiency	C0013238	46152009
4145	indication	Meibomian gland dysfunction	C1275684	397549002
4915	indication	Pre B-cell acute lymphoblastic leukemia	C0349636	277572006
2368	indication	Asthma	C0004096	195967001
4190	indication	Polycythemia vera	C0032463	109992005
1579	indication	Premature ejaculation	C0033038	44001008
2265	indication	Premature ejaculation	C0033038	44001008
2371	indication	Superficial bacterial infection of skin	C0342985	275441009
4916	indication	Exudative age-related macular degeneration	C0271084	414173003
4916	indication	Central retinal vein occlusion with macular edema	C0339498	232039004
4916	indication	Branch retinal vein occlusion with macular edema	C0339507	232048009
4916	indication	Diabetic macular edema	C0730285	312912001
4916	indication	Metastasis from malignant tumor of colon	C1282500	314998002
3961	indication	Gastroesophageal reflux disease	C0017168	235595009
4898	indication	Chemotherapy-induced nausea and vomiting	C0401160	236084000
4899	indication	Chronic hepatitis C	C0524910	128302006
2408	indication	Gastric ulcer	C0038358	397825006
2070	indication	Sepsis due to Streptococcus pneumoniae	C2887084	448421008
4900	indication	Tear film insufficiency	C0013238	46152009
4901	indication	Diabetes mellitus type 1	C0011854	46635009
4901	indication	Diabetes mellitus type 2	C0011860	44054006
1118	indication	Angiomyolipoma of kidney	C0241961	254921004
1537	indication	Gastro-esophageal reflux disease with esophagitis	C0677659	266433003
272	indication	Hypertensive disorder	C0020538	38341003
4902	indication	Bladder muscle dysfunction - overactive	C0403643	236633002
1638	indication	Pustular psoriasis	C0152081	200973000
972	indication	Female stress incontinence	C0038437	60241006
4903	indication	Hamman-Rich syndrome	C0085786	700250006
4904	indication	Rheumatoid arthritis	C0003873	69896004
4904	indication	Juvenile idiopathic arthritis	C3495559	410502007
4904	indication	Psoriasis with arthropathy	C0003872	33339001
4904	indication	Ankylosing spondylitis	C0038013	9631008
4904	indication	Crohn's disease	C0010346	34000006
4904	indication	Ulcerative colitis	C0009324	64766004
4904	indication	Plaque psoriasis	C0406317	200965009
322	indication	Infection by Trypanosoma cruzi	C0041234	77506005
873	indication	Lymphatic filariasis	C0013882	240820001
990	indication	African trypanosomiasis	C0041228	27031003
3336	indication	African trypanosomiasis	C0041228	27031003
1929	indication	Infection by Trypanosoma cruzi	C0041234	77506005
4020	indication	Leishmaniasis	C0023281	80612004
2966	indication	African trypanosomiasis	C0041228	27031003
2090	indication	African trypanosomiasis	C0041228	27031003
4885	indication	Diabetes mellitus type 2	C0011860	44054006
2782	indication	Asthma	C0004096	195967001
2782	indication	Pulmonary emphysema	C0034067	87433001
1987	indication	Acute heart failure	C0264714	56675007
294	indication	Vasomotor rhinitis	C0035460	8229003
429	indication	Essential hypertension	C0085580	59621000
641	indication	Hypertensive disorder	C0020538	38341003
2760	indication	Essential hypertension	C0085580	59621000
2665	indication	Essential hypertension	C0085580	59621000
2665	indication	Angina pectoris	C0002962	194828000
1424	indication	Hypertensive disorder	C0020538	38341003
4886	indication	Obesity	C0028754	414916001
2733	indication	Hypertensive disorder	C0020538	38341003
4887	indication	Influenza	C0021400	6142004
1406	indication	Asthma	C0004096	195967001
4884	indication	Respiratory distress syndrome in the newborn	C0035220	46775006
4299	indication	Human immunodeficiency virus infection	C0019693	86406008
2588	indication	Neoplasm of head and neck	C0018671	255055008
2588	indication	Squamous cell carcinoma	C0007137	402815007
4879	indication	Deep venous thrombosis	C0149871	128053003
4880	indication	Multiple sclerosis	C0026769	24700007
4678	indication	Bacterial infection of skin	C0162627	128936008
4678	indication	Staphylococcal infection of skin	C0038166	402938009
4678	indication	Streptococcal infection of skin	C1274355	402937004
3180	indication	Pulmonary tuberculosis	C0041327	154283005
4881	indication	Insomnia	C0917801	193462001
4881	contraindication	Narcolepsy	C0027404	60380001
831	indication	Neuroleptic-induced Parkinsonism	C0236830	72820004
4834	indication	Glucosylceramide beta-glucosidase deficiency	C0017205	190794006
1512	indication	Chronic gastritis	C0085695	8493009
4607	indication	Congestive heart failure	C0018802	42343007
2779	indication	Gastric ulcer	C0038358	397825006
4882	indication	Parkinson's disease	C0030567	49049000
1917	indication	Hyperlipidemia	C0020473	55822004
1917	contraindication	Low blood pressure	C0020649	45007003
362	indication	Hyperlipidemia	C0020473	55822004
4874	indication	Onychomycosis of toenails	C1274470	403059006
4874	indication	Onychomycosis due to dermatophyte	C0040261	402134005
4874	indication	Onychomycosis due to Trichophyton mentagrophytes	C0276755	23549005
1810	contraindication	Pregnancy, function	C0032961	289908002
1810	contraindication	Sjogren-Larsson syndrome	C0037231	111303009
4875	indication	Chronic hepatitis C	C0524910	128302006
4876	indication	Peripheral T-cell lymphoma	C0079774	109977009
1404	indication	Hypercalcemia	C0020437	66931009
4877	indication	Onychomycosis of toenails	C1274470	403059006
4877	indication	Onychomycosis due to dermatophyte	C0040261	402134005
4877	indication	Onychomycosis due to Trichophyton mentagrophytes	C0276755	23549005
4877	indication	Onychomycosis due to Trichophyton rubrum	C0276754	56922006
4878	indication	Chronic lymphoid leukemia, disease	C0023434	92814006
4878	indication	Follicular non-Hodgkin's lymphoma	C0024301	308121000
4878	indication	Malignant lymphoma - small lymphocytic	C0855095	302841002
4878	contraindication	Toxic epidermal necrolysis due to drug	C1274191	402744003
777	indication	Staphylococcal infection of skin	C0038166	402938009
777	indication	Bacterial infection of skin	C0162627	128936008
4873	indication	Staphylococcal infection of skin	C0038166	402938009
4873	indication	Bacterial infection of skin	C0162627	128936008
4873	indication	Streptococcal infection of skin	C1274355	402937004
1238	indication	Carcinoma of female breast	C3163805	447782002
2857	indication	Disorders of initiating and maintaining sleep	C0021603	194437008
4871	indication	Hyperkalemia	C0020461	14140009
4872	indication	Duchenne muscular dystrophy	C0013264	76670001
777	indication	Infection of skin AND/OR subcutaneous tissue	C0178299	19824006
1796	indication	Major depressive disorder	C1269683	370143000
4741	indication	Drug resistant tuberculosis	C0206525	423709000
1602	indication	Insomnia	C0917801	193462001
4865	indication	Depressive disorder	C0011581	35489007
3632	indication	Angina pectoris	C0002962	194828000
4382	indication	Bladder muscle dysfunction - overactive	C0403643	236633002
4382	contraindication	Hypertensive disorder	C0020538	38341003
4857	indication	Atrophic vaginitis	C0221392	52441000
4857	indication	Female hypogonadism syndrome	C0271578	16041008
3355	indication	Joint pain	C0003862	57676002
3627	indication	Condyloma acuminatum	C0009663	240542006
4866	indication	Non-small cell lung cancer	C0007131	254637007
2201	indication	Edema	C0013604	267038008
2201	indication	Hypertensive disorder	C0020538	38341003
600	indication	Menorrhagia	C0025323	386692008
600	indication	Endometriosis	C0014175	129103003
2557	indication	Hypertensive disorder	C0020538	38341003
1993	indication	Depressive disorder	C0011581	35489007
4868	indication	Influenza	C0021400	6142004
4867	indication	Gastroesophageal reflux disease	C0017168	235595009
4867	contraindication	Hypomagnesemia	C0151723	190855004
4867	contraindication	Chronic heart failure	C0264716	48447003
4867	contraindication	Disease of liver	C0023895	235856003
4867	contraindication	Hepatic failure	C0085605	59927004
4867	contraindication	Acute nephropathy	C0268734	58574008
4867	contraindication	Osteoporosis	C0029456	64859006
4867	contraindication	Edema	C0013604	267038008
4867	contraindication	Oliguria	C0028961	83128009
4867	contraindication	Fracture of bone	C0016658	125605004
4867	contraindication	Atrophic gastritis	C0017154	84568007
4867	indication	Zollinger-Ellison syndrome	C0043515	53132006
4867	indication	Peptic reflux disease	C0014869	57643001
4867	indication	Erosive esophagitis	C0267055	40719004
4832	indication	Therapeutic opioid induced constipation	C3874358	136801000119102
4833	indication	Diabetes mellitus type 2	C0011860	44054006
4835	indication	Ventricular arrhythmia	C0085612	44103008
4835	indication	Supraventricular arrhythmia	C0428974	72654001
4836	indication	Erythropoietic protoporphyria	C0162568	51022005
4495	indication	Hyperhidrosis	C0020458	312230002
4839	indication	Hemorrhage	C0019080	50960005
4840	indication	Pulmonary embolism	C0034065	59282003
4840	indication	Deep venous thrombosis	C0149871	128053003
4842	indication	Hypocalcemia	C0020598	5291005
4843	indication	Hypocalcemia	C0020598	5291005
4844	indication	Hypocalcemia	C0020598	5291005
4846	indication	Hereditary angioneurotic edema	C0019243	82966003
2726	indication	Seasonal allergic rhinitis	C0018621	367498001
1480	indication	Depressive disorder	C0011581	35489007
3065	indication	Acute amebiasis	C0152499	39224005
1810	indication	Cutaneous leishmaniasis	C0023283	240637006
1810	indication	American mucocutaneous leishmaniasis	C1328252	403135004
4829	indication	Psoriasis with arthropathy	C0003872	33339001
4830	indication	Diabetes mellitus type 2	C0011860	44054006
4799	indication	Asthma	C0004096	195967001
4554	indication	Asthma	C0004096	195967001
4831	indication	Malignant epithelial tumor of ovary	C0346161	254849005
971	indication	Orthostatic hypotension	C0020651	28651003
2303	indication	Hemangioma	C0018916	400210000
4825	indication	Relapsing remitting multiple sclerosis	C0751967	426373005
4826	indication	Congenital generalized lipodystrophy	C0221032	284449005
4826	indication	Acquired generalized lipodystrophy	C0271693	86907008
4826	indication	Acquired partial lipodystrophy	C0220989	75659004
2638	indication	Allogeneic bone marrow transplantation	C0149615	58390007
3442	indication	Antiseptic preparation	C0443072	261276004
4742	indication	Malignant tumor of cervix	C0007847	363354003
395	indication	Rosacea	C0035854	398909004
4818	indication	Positron emission tomography	C0032743	82918005
1118	indication	Carcinoma of breast	C0678222	254838004
1118	indication	Hormone receptor positive malignant neoplasm of breast	C1562029	417181009
2480	indication	Myoclonic seizure	C0014550	37356005
2480	indication	Severe myoclonic epilepsy in infancy	C0751122	230437002
4756	indication	Peptic ulcer	C0030920	13200003
4819	indication	Drug resistant tuberculosis	C0206525	423709000
790	indication	Acute myeloid leukemia, disease	C0023467	91861009
823	indication	Ventricular arrhythmia	C0085612	44103008
823	indication	Supraventricular arrhythmia	C0428974	72654001
1299	indication	Diabetes mellitus type 2	C0011860	44054006
4820	indication	Non-24 hour sleep-wake cycle	C0393772	230496009
4774	indication	Insect repellent	C0021572	75627006
4116	indication	Bacterial pneumonia	C0004626	53084003
4806	indication	Major depressive disorder	C1269683	370143000
483	indication	Anxiety disorder	C0003469	197480006
147	indication	Sore throat symptom	C0242429	267102003
981	indication	Peptic ulcer	C0030920	13200003
3839	indication	Hypertensive disorder	C0020538	38341003
3522	indication	Hypertensive disorder	C0020538	38341003
2591	indication	Angina pectoris	C0002962	194828000
2354	indication	Allergic rhinitis	C2607914	61582004
4418	indication	Insect repellent	C0021572	75627006
4413	indication	Hyperthyroidism	C0020550	34486009
4412	indication	Severe pain	C0278140	76948002
715	indication	Anorexia nervosa	C0003125	56882008
2223	indication	Malignant tumor of testis	C0153594	363449006
4788	indication	Antiseptic preparation	C0443072	261276004
4752	indication	Open-angle glaucoma	C0017612	84494001
4752	indication	Ocular hypertension	C0028840	4210003
2427	indication	Giardiasis	C0017536	58265007
2427	indication	Infection by Trichomonas	C0040921	56335008
497	indication	Hyperthyroidism	C0020550	34486009
497	indication	Graves' disease	C0018213	353295004
1810	indication	Visceral leishmaniasis	C0023290	186803007
2435	indication	Schizophrenia	C0036341	58214004
2747	indication	Hypertensive disorder	C0020538	38341003
4807	indication	Chronic thromboembolic pulmonary hypertension	C2363973	233947005
4807	indication	Pulmonary arterial hypertension	C2973725	11399002
4808	indication	Alzheimer's disease	C0002395	26929004
2703	indication	Spasticity	C0026838	221360009
4809	indication	Pulmonary arterial hypertension	C2973725	11399002
4809	contraindication	Pregnancy, function	C0032961	289908002
4807	contraindication	Pregnancy, function	C0032961	289908002
2173	indication	Hypertensive disorder	C0020538	38341003
958	indication	Primary malignant neoplasm of gastrointestinal tract	C1306632	363745004
2836	contraindication	Gout	C0018099	90560007
4301	indication	Positron emission tomography	C0032743	82918005
4622	indication	Irritable bowel syndrome	C0022104	10743008
3644	indication	Transitional cell carcinoma	C0007138	27090000
4300	indication	Human immunodeficiency virus infection	C0019693	86406008
2044	indication	Secondary malignant neoplasm of pancreas	C0346976	94459006
1429	indication	Verruca	C0043037	30285000
2104	indication	Echocardiography	C0013516	40701008
