dise_name	orphanet_id	ref_id	ref_name	dise_type
Glycogen storage disease due to glycogen debranching enzyme deficiency	366	C0017922	UMLS	rare_genetic
Glycogen storage disease due to glycogen debranching enzyme deficiency	366	C2936915	UMLS	rare_genetic
Glycogen storage disease due to glycogen debranching enzyme deficiency	366	10053250	MedDRA	rare_genetic
Glycogen storage disease due to glycogen debranching enzyme deficiency	366	232400	OMIM	rare_genetic
Von Willebrand disease type 2B	166087	D68.0	ICD-10	rare_genetic
Von Willebrand disease type 2B	166087	C1282971	UMLS	rare_genetic
Von Willebrand disease type 2B	166087	613554	OMIM	rare_genetic
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	368	10018462	MedDRA	rare_genetic
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	368	E74.0	ICD-10	rare_genetic
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	368	C537276	MeSH	rare_genetic
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	368	232600	OMIM	rare_genetic
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	368	D006012	MeSH	rare_genetic
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	368	C0017924	UMLS	rare_genetic
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	368	C2936916	UMLS	rare_genetic
Von Willebrand disease type 2N	166093	D68.0	ICD-10	rare_genetic
Von Willebrand disease type 2N	166093	613554	OMIM	rare_genetic
Von Willebrand disease type 2N	166093	C1282975	UMLS	rare_genetic
Glycogen storage disease due to glycogen branching enzyme deficiency	367	C0017923	UMLS	rare_genetic
Glycogen storage disease due to glycogen branching enzyme deficiency	367	C1563715	UMLS	rare_genetic
Glycogen storage disease due to glycogen branching enzyme deficiency	367	10053249	MedDRA	rare_genetic
Glycogen storage disease due to glycogen branching enzyme deficiency	367	232500	OMIM	rare_genetic
Glycogen storage disease due to glycogen branching enzyme deficiency	367	263570	OMIM	rare_genetic
Glycogen storage disease due to glycogen branching enzyme deficiency	367	E74.0	ICD-10	rare_genetic
Von Willebrand disease type 3	166096	D056729	MeSH	rare_genetic
Von Willebrand disease type 3	166096	D68.0	ICD-10	rare_genetic
Von Willebrand disease type 3	166096	C1264041	UMLS	rare_genetic
Von Willebrand disease type 3	166096	277480	OMIM	rare_genetic
Glycogen storage disease due to muscle phosphofructokinase deficiency	371	232800	OMIM	rare_genetic
Glycogen storage disease due to muscle phosphofructokinase deficiency	371	C0017926	UMLS	rare_genetic
Glycogen storage disease due to muscle phosphofructokinase deficiency	371	10053241	MedDRA	rare_genetic
Glycogen storage disease due to muscle phosphofructokinase deficiency	371	E74.0	ICD-10	rare_genetic
Stickler syndrome type 3	166100	C537494	MeSH	rare_genetic
Stickler syndrome type 3	166100	184840	OMIM	rare_genetic
Stickler syndrome type 3	166100	C1861481	UMLS	rare_genetic
Stickler syndrome type 3	166100	Q87.5	ICD-10	rare_genetic
Glycogen storage disease due to liver glycogen phosphorylase deficiency	369	232700	OMIM	rare_genetic
Glycogen storage disease due to liver glycogen phosphorylase deficiency	369	C0017925	UMLS	rare_genetic
Glycogen storage disease due to liver glycogen phosphorylase deficiency	369	10053240	MedDRA	rare_genetic
Glycogen storage disease due to liver glycogen phosphorylase deficiency	369	E74.0	ICD-10	rare_genetic
FASTKD2-related infantile mitochondrial encephalomyopathy	166105	G71.3	ICD-10	rare_genetic
Paroxysmal nocturnal hemoglobinuria	447	300818	OMIM	rare_genetic
Paroxysmal nocturnal hemoglobinuria	447	615399	OMIM	rare_genetic
Paroxysmal nocturnal hemoglobinuria	447	D006457	MeSH	rare_genetic
Paroxysmal nocturnal hemoglobinuria	447	C0024790	UMLS	rare_genetic
Paroxysmal nocturnal hemoglobinuria	447	10034042	MedDRA	rare_genetic
Paroxysmal nocturnal hemoglobinuria	447	D59.5	ICD-10	rare_genetic
Intellectual disability, Birk-Barel type	166108	612292	OMIM	rare_genetic
Intellectual disability, Birk-Barel type	166108	Q87.8	ICD-10	rare_genetic
Bazex syndrome	166113	C0346104	UMLS	rare_genetic
Isolated osteopoikilosis	166119	Q78.8	ICD-10	rare_genetic
Isolated osteopoikilosis	166119	166700	OMIM	rare_genetic
Rare cutaneous lupus erythematosus	535	L93.0	ICD-10	not_genetic
Rare cutaneous lupus erythematosus	535	L93.1	ICD-10	not_genetic
Rare cutaneous lupus erythematosus	535	L93.2	ICD-10	not_genetic
Rare cutaneous lupus erythematosus	535	D008178	MeSH	not_genetic
Rare cutaneous lupus erythematosus	535	C0024137	UMLS	not_genetic
Rare cutaneous lupus erythematosus	535	10056509	MedDRA	not_genetic
Krabbe disease	487	245200	OMIM	rare_genetic
Krabbe disease	487	10023492	MedDRA	rare_genetic
Krabbe disease	487	E75.2	ICD-10	rare_genetic
Krabbe disease	487	611722	OMIM	rare_genetic
Krabbe disease	487	C0023521	UMLS	rare_genetic
Dentinogenesis imperfecta type 2	166260	125490	OMIM	rare_genetic
Dentinogenesis imperfecta type 2	166260	605594	OMIM	rare_genetic
Dentinogenesis imperfecta type 2	166260	K00.5	ICD-10	rare_genetic
Dentinogenesis imperfecta type 3	166265	125500	OMIM	rare_genetic
Dentinogenesis imperfecta type 3	166265	K00.5	ICD-10	rare_genetic
Mucopolysaccharidosis type 6	583	D009087	MeSH	rare_genetic
Mucopolysaccharidosis type 6	583	C0026709	UMLS	rare_genetic
Mucopolysaccharidosis type 6	583	10056892	MedDRA	rare_genetic
Mucopolysaccharidosis type 6	583	E76.2	ICD-10	rare_genetic
Mucopolysaccharidosis type 6	583	253200	OMIM	rare_genetic
Odontochondrodysplasia	166272	184260	OMIM	rare_genetic
Odontochondrodysplasia	166272	Q78.8	ICD-10	rare_genetic
Mucolipidosis type II	576	C0020725	UMLS	rare_genetic
Mucolipidosis type II	576	C2931894	UMLS	rare_genetic
Mucolipidosis type II	576	252500	OMIM	rare_genetic
Mucolipidosis type II	576	E77.0	ICD-10	rare_genetic
Mucolipidosis type II	576	C538602	MeSH	rare_genetic
Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	166277	604922	OMIM	rare_genetic
Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	166277	Q78.8	ICD-10	rare_genetic
Sialidosis type 1	812	C0023806	UMLS	rare_genetic
Sialidosis type 1	812	E77.1	ICD-10	rare_genetic
Sialidosis type 1	812	256550	OMIM	rare_genetic
Mucolipidosis type IV	578	252650	OMIM	rare_genetic
Mucolipidosis type IV	578	C0238286	UMLS	rare_genetic
Mucolipidosis type IV	578	E75.1	ICD-10	rare_genetic
Familial sick sinus syndrome	166282	10040639	MedDRA	rare_genetic
Familial sick sinus syndrome	166282	I49.5	ICD-10	rare_genetic
Familial sick sinus syndrome	166282	D012804	MeSH	rare_genetic
Familial sick sinus syndrome	166282	C0037052	UMLS	rare_genetic
Familial sick sinus syndrome	166282	163800	OMIM	rare_genetic
Familial sick sinus syndrome	166282	182190	OMIM	rare_genetic
Familial sick sinus syndrome	166282	608567	OMIM	rare_genetic
Familial sick sinus syndrome	166282	614090	OMIM	rare_genetic
Mucolipidosis type III	577	252600	OMIM	rare_genetic
Mucolipidosis type III	577	252605	OMIM	rare_genetic
Mucolipidosis type III	577	E77.0	ICD-10	rare_genetic
Porokeratotic eccrine ostial and dermal duct nevus	166286	C0473579	UMLS	rare_genetic
Porokeratotic eccrine ostial and dermal duct nevus	166286	Q82.5	ICD-10	rare_genetic
Dirofilariasis	166291	D004184	MeSH	not_genetic
Dirofilariasis	166291	C0012602	UMLS	not_genetic
Dirofilariasis	166291	B74.8	ICD-10	not_genetic
Benign non-familial infantile seizures	166295	G40.4	ICD-10	rare_genetic
Benign partial epilepsy with secondarily generalized seizures in infancy	166302	G40.1	ICD-10	rare_genetic
Poliomyelitis	2912	A80.4	ICD-10	not_genetic
Poliomyelitis	2912	D011051	MeSH	not_genetic
Poliomyelitis	2912	C0032371	UMLS	not_genetic
Poliomyelitis	2912	10036012	MedDRA	not_genetic
Poliomyelitis	2912	A80.2	ICD-10	not_genetic
Poliomyelitis	2912	A80.3	ICD-10	not_genetic
Poliomyelitis	2912	A80.9	ICD-10	not_genetic
Poliomyelitis	2912	A80.0	ICD-10	not_genetic
Poliomyelitis	2912	A80.1	ICD-10	not_genetic
Benign partial epilepsy of infancy with complex partial seizures	166299	G40.2	ICD-10	rare_genetic
Photosensitive epilepsy	166409	132100	OMIM	not_genetic
Photosensitive epilepsy	166409	609572	OMIM	not_genetic
Photosensitive epilepsy	166409	609573	OMIM	not_genetic
Photosensitive epilepsy	166409	C0393720	UMLS	not_genetic
Photosensitive epilepsy	166409	G40.8	ICD-10	not_genetic
Sandhoff disease	796	E75.0	ICD-10	rare_genetic
Sandhoff disease	796	268800	OMIM	rare_genetic
Sandhoff disease	796	C0036161	UMLS	rare_genetic
Sandhoff disease	796	D012497	MeSH	rare_genetic
Scleroderma	801	C0011644	UMLS	not_genetic
Scleroderma	801	10039710	MedDRA	not_genetic
Recessive X-linked ichthyosis	461	10048063	MedDRA	rare_genetic
Recessive X-linked ichthyosis	461	D016114	MeSH	rare_genetic
Recessive X-linked ichthyosis	461	C0079588	UMLS	rare_genetic
Recessive X-linked ichthyosis	461	C2717836	UMLS	rare_genetic
Recessive X-linked ichthyosis	461	300001	OMIM	rare_genetic
Recessive X-linked ichthyosis	461	308100	OMIM	rare_genetic
Recessive X-linked ichthyosis	461	Q80.1	ICD-10	rare_genetic
Orgasm-induced seizures	166421	G40.8	ICD-10	not_genetic
Eating seizures	166418	C0393725	UMLS	not_genetic
Eating seizures	166418	G40.8	ICD-10	not_genetic
Audiogenic seizures	166415	C0751791	UMLS	not_genetic
Audiogenic seizures	166415	G40.8	ICD-10	not_genetic
Mucopolysaccharidosis type 7	584	C0085132	UMLS	rare_genetic
Mucopolysaccharidosis type 7	584	D016538	MeSH	rare_genetic
Mucopolysaccharidosis type 7	584	10056893	MedDRA	rare_genetic
Mucopolysaccharidosis type 7	584	253220	OMIM	rare_genetic
Mucopolysaccharidosis type 7	584	E76.2	ICD-10	rare_genetic
Hot water reflex epilepsy	166412	G40.8	ICD-10	not_genetic
Hot water reflex epilepsy	166412	613339	OMIM	not_genetic
Hot water reflex epilepsy	166412	613340	OMIM	not_genetic
Reading seizures	166433	G40.8	ICD-10	not_genetic
Reading seizures	166433	132300	OMIM	not_genetic
Reading seizures	166433	C0278193	UMLS	not_genetic
Micturation-induced seizures	166430	G40.8	ICD-10	not_genetic
Turner syndrome	881	Q96.0	ICD-10	rare_genetic
Turner syndrome	881	Q96.1	ICD-10	rare_genetic
Turner syndrome	881	D014424	MeSH	rare_genetic
Turner syndrome	881	C0041408	UMLS	rare_genetic
Turner syndrome	881	10045181	MedDRA	rare_genetic
Turner syndrome	881	Q96.8	ICD-10	rare_genetic
Turner syndrome	881	Q96.9	ICD-10	rare_genetic
Turner syndrome	881	Q96.2	ICD-10	rare_genetic
Turner syndrome	881	Q96.3	ICD-10	rare_genetic
Turner syndrome	881	Q96.4	ICD-10	rare_genetic
Startle epilepsy	166427	G40.8	ICD-10	not_genetic
Thinking seizures	166424	G40.8	ICD-10	not_genetic
Friedreich ataxia	95	D005621	MeSH	rare_genetic
Friedreich ataxia	95	C0016719	UMLS	rare_genetic
Friedreich ataxia	95	10017374	MedDRA	rare_genetic
Friedreich ataxia	95	229300	OMIM	rare_genetic
Friedreich ataxia	95	601992	OMIM	rare_genetic
Friedreich ataxia	95	G11.1	ICD-10	rare_genetic
Beta-thalassemia	848	C0005283	UMLS	rare_genetic
Beta-thalassemia	848	10043391	MedDRA	rare_genetic
Beta-thalassemia	848	D56.1	ICD-10	rare_genetic
Beta-thalassemia	848	613985	OMIM	rare_genetic
Beta-thalassemia	848	D017086	MeSH	rare_genetic
Beta-thalassemia	848	603902	OMIM	rare_genetic
Alpha-thalassemia	846	D017085	MeSH	rare_genetic
Alpha-thalassemia	846	10043390	MedDRA	rare_genetic
Alpha-thalassemia	846	D56.0	ICD-10	rare_genetic
Alpha-thalassemia	846	604131	OMIM	rare_genetic
Alpha-thalassemia	846	C0002312	UMLS	rare_genetic
Alpha-thalassemia	846	C1456873	UMLS	rare_genetic
Cystic fibrosis	586	E84.0	ICD-10	rare_genetic
Cystic fibrosis	586	E84.1	ICD-10	rare_genetic
Cystic fibrosis	586	219700	OMIM	rare_genetic
Cystic fibrosis	586	D003550	MeSH	rare_genetic
Cystic fibrosis	586	C0010674	UMLS	rare_genetic
Cystic fibrosis	586	10011762	MedDRA	rare_genetic
Cystic fibrosis	586	E84.8	ICD-10	rare_genetic
Cystic fibrosis	586	E84.9	ICD-10	rare_genetic
Duchenne and Becker muscular dystrophy	262	G71.0	ICD-10	rare_genetic
Metabolic diseases with epilepsy	166481	C1299598	UMLS	not_genetic
Emery-Dreifuss muscular dystrophy	261	G71.0	ICD-10	rare_genetic
Emery-Dreifuss muscular dystrophy	261	614302	OMIM	rare_genetic
Emery-Dreifuss muscular dystrophy	261	616516	OMIM	rare_genetic
Emery-Dreifuss muscular dystrophy	261	C0410189	UMLS	rare_genetic
Emery-Dreifuss muscular dystrophy	261	D020389	MeSH	rare_genetic
Emery-Dreifuss muscular dystrophy	261	181350	OMIM	rare_genetic
Emery-Dreifuss muscular dystrophy	261	300696	OMIM	rare_genetic
Emery-Dreifuss muscular dystrophy	261	310300	OMIM	rare_genetic
Emery-Dreifuss muscular dystrophy	261	612998	OMIM	rare_genetic
Emery-Dreifuss muscular dystrophy	261	612999	OMIM	rare_genetic
MELAS	550	D017241	MeSH	rare_genetic
MELAS	550	10053872	MedDRA	rare_genetic
MELAS	550	G71.3	ICD-10	rare_genetic
MELAS	550	540000	OMIM	rare_genetic
MELAS	550	C0162671	UMLS	rare_genetic
Facioscapulohumeral dystrophy	269	C0238288	UMLS	rare_genetic
Facioscapulohumeral dystrophy	269	10064087	MedDRA	rare_genetic
Facioscapulohumeral dystrophy	269	G71.0	ICD-10	rare_genetic
Facioscapulohumeral dystrophy	269	158900	OMIM	rare_genetic
Facioscapulohumeral dystrophy	269	158901	OMIM	rare_genetic
Facioscapulohumeral dystrophy	269	600416	OMIM	rare_genetic
Kearns-Sayre syndrome	480	H49.8	ICD-10	rare_genetic
Kearns-Sayre syndrome	480	530000	OMIM	rare_genetic
Kearns-Sayre syndrome	480	D007625	MeSH	rare_genetic
Kearns-Sayre syndrome	480	C0022541	UMLS	rare_genetic
Kearns-Sayre syndrome	480	10048804	MedDRA	rare_genetic
Myofibrillar myopathy	593	G71.8	ICD-10	rare_genetic
Classic paraneoplastic limbic encephalitis	163898	G13.1	ICD-10	not_genetic
Paraneoplastic limbic encephalitis	163895	G13.1	ICD-10	not_genetic
Limbic encephalitis with LGI1 antibodies	163908	G04.8	ICD-10	not_genetic
Limbic encephalitis with LGI1 antibodies	163908	G13.1	ICD-10	not_genetic
Limbic encephalitis associated with antibodies to cell membrane antigens	163903	G13.1	ICD-10	not_genetic
MERRF	551	10069825	MedDRA	rare_genetic
MERRF	551	G71.3	ICD-10	rare_genetic
MERRF	551	545000	OMIM	rare_genetic
MERRF	551	D017243	MeSH	rare_genetic
MERRF	551	C0162672	UMLS	rare_genetic
Central core disease	597	G71.2	ICD-10	rare_genetic
Central core disease	597	117000	OMIM	rare_genetic
Nemaline myopathy	607	D017696	MeSH	rare_genetic
Nemaline myopathy	607	G71.2	ICD-10	rare_genetic
Nemaline myopathy	607	C0206157	UMLS	rare_genetic
Limbic encephalitis	163892	D020363	MeSH	not_genetic
Limbic encephalitis	163892	C0338430	UMLS	not_genetic
Neurologic Waardenburg-Shah syndrome	163746	E75.2	ICD-10	rare_genetic
Neurologic Waardenburg-Shah syndrome	163746	609136	OMIM	rare_genetic
Paramyotonia congenita of Von Eulenburg	684	C538616	MeSH	rare_genetic
Paramyotonia congenita of Von Eulenburg	684	G71.1	ICD-10	rare_genetic
Paramyotonia congenita of Von Eulenburg	684	168300	OMIM	rare_genetic
Paramyotonia congenita of Von Eulenburg	684	C1868617	UMLS	rare_genetic
Acrodermatitis continua suppurativa of Hallopeau	163931	L40.2	ICD-10	rare_genetic
Pustulosis palmaris et plantaris	163927	L40.3	ICD-10	rare_genetic
Pustulosis palmaris et plantaris	163927	C0030246	UMLS	rare_genetic
Pustulosis palmaris et plantaris	163927	10050185	MedDRA	rare_genetic
Steinert myotonic dystrophy	273	160900	OMIM	rare_genetic
Steinert myotonic dystrophy	273	C538008	MeSH	rare_genetic
Steinert myotonic dystrophy	273	C2931688	UMLS	rare_genetic
Steinert myotonic dystrophy	273	G71.1	ICD-10	rare_genetic
X-linked intellectual disability, Najm type	163937	Q04.3	ICD-10	rare_genetic
X-linked intellectual disability, Najm type	163937	300749	OMIM	rare_genetic
Atopic keratoconjunctivitis	163934	C1274788	UMLS	not_genetic
Atopic keratoconjunctivitis	163934	10069664	MedDRA	not_genetic
Atopic keratoconjunctivitis	163934	H16.2	ICD-10	not_genetic
Limbic encephalitis with nCMAgs antibodies	163914	G13.1	ICD-10	not_genetic
Non-herpetic acute limbic encephalitis	163924	G04.8	ICD-10	not_genetic
Thomsen and Becker disease	614	C2936781	UMLS	rare_genetic
Thomsen and Becker disease	614	10028655	MedDRA	rare_genetic
Thomsen and Becker disease	614	10043461	MedDRA	rare_genetic
Thomsen and Becker disease	614	G71.1	ICD-10	rare_genetic
Thomsen and Becker disease	614	160800	OMIM	rare_genetic
Thomsen and Becker disease	614	255700	OMIM	rare_genetic
Thomsen and Becker disease	614	C0027127	UMLS	rare_genetic
Posttransplant acute limbic encephalitis	163921	A86	ICD-10	not_genetic
X-linked dominant chondrodysplasia, Chassaing-Lacombe type	163966	300863	OMIM	rare_genetic
X-linked dominant chondrodysplasia, Chassaing-Lacombe type	163966	Q87.8	ICD-10	rare_genetic
X-linked intellectual disability, Cilliers type	163971	Q87.8	ICD-10	rare_genetic
X-linked intellectual disability, Van Esch type	163976	Q87.8	ICD-10	rare_genetic
X-linked intellectual disability-craniofacioskeletal syndrome	163979	Q87.8	ICD-10	rare_genetic
X-linked intellectual disability-craniofacioskeletal syndrome	163979	300712	OMIM	rare_genetic
X-linked intellectual disability, Raymond type	163953	Q87.8	ICD-10	not_genetic
X-linked intellectual disability, Raymond type	163953	300799	OMIM	not_genetic
X-linked intellectual disability, Nascimento type	163956	Q87.8	ICD-10	rare_genetic
X-linked intellectual disability, Nascimento type	163956	300860	OMIM	rare_genetic
X-linked intellectual disability, Kroes type	163961	300864	OMIM	rare_genetic
X-linked intellectual disability, Kroes type	163961	Q87.8	ICD-10	rare_genetic
Middle ear anomaly	164004	C0266599	UMLS	not_genetic
Middle ear anomaly	164004	10060957	MedDRA	not_genetic
Middle ear anomaly	164004	Q16.4	ICD-10	not_genetic
Middle ear anomaly	164004	Q16.3	ICD-10	not_genetic
Fabry disease	324	D000795	MeSH	rare_genetic
Fabry disease	324	C0002986	UMLS	rare_genetic
Fabry disease	324	10016016	MedDRA	rare_genetic
Fabry disease	324	E75.2	ICD-10	rare_genetic
Fabry disease	324	301500	OMIM	rare_genetic
X-linked intellectual disability-spastic quadriparesis syndrome	163982	309640	OMIM	rare_genetic
Hyperekplexia-epilepsy syndrome	163985	300607	OMIM	rare_genetic
Hyperekplexia-epilepsy syndrome	163985	G25.8	ICD-10	rare_genetic
Rett syndrome	778	D015518	MeSH	rare_genetic
Rett syndrome	778	C0035372	UMLS	rare_genetic
Rett syndrome	778	10039000	MedDRA	rare_genetic
Rett syndrome	778	312750	OMIM	rare_genetic
Rett syndrome	778	F84.2	ICD-10	rare_genetic
Angelman syndrome	72	D017204	MeSH	rare_genetic
Angelman syndrome	72	C0162635	UMLS	rare_genetic
Angelman syndrome	72	105830	OMIM	rare_genetic
Angelman syndrome	72	10049004	MedDRA	rare_genetic
Angelman syndrome	72	Q93.5	ICD-10	rare_genetic
Juvenile myoclonic epilepsy	307	D020190	MeSH	rare_genetic
Juvenile myoclonic epilepsy	307	C0270853	UMLS	rare_genetic
Juvenile myoclonic epilepsy	307	10071082	MedDRA	rare_genetic
Juvenile myoclonic epilepsy	307	254770	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	604827	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	607628	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	607682	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	608816	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	611136	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	611364	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	613060	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	614280	OMIM	rare_genetic
Juvenile myoclonic epilepsy	307	G40.3	ICD-10	rare_genetic
Juvenile absence epilepsy	1941	607631	OMIM	rare_genetic
Juvenile absence epilepsy	1941	C535495	MeSH	rare_genetic
Juvenile absence epilepsy	1941	C2930918	UMLS	rare_genetic
Juvenile absence epilepsy	1941	G40.3	ICD-10	rare_genetic
Von Hippel-Lindau disease	892	193300	OMIM	rare_genetic
Von Hippel-Lindau disease	892	D006623	MeSH	rare_genetic
Von Hippel-Lindau disease	892	C0019562	UMLS	rare_genetic
Von Hippel-Lindau disease	892	10047716	MedDRA	rare_genetic
Von Hippel-Lindau disease	892	Q85.8	ICD-10	rare_genetic
Rare acquired aplastic anemia	164823	D61.1	ICD-10	not_genetic
Rare acquired aplastic anemia	164823	D61.2	ICD-10	not_genetic
Familial advanced sleep-phase syndrome	164736	616882	OMIM	rare_genetic
Familial advanced sleep-phase syndrome	164736	G47.2	ICD-10	rare_genetic
Familial advanced sleep-phase syndrome	164736	604348	OMIM	rare_genetic
Familial advanced sleep-phase syndrome	164736	615224	OMIM	rare_genetic
Autosomal recessive polycystic kidney disease	731	263200	OMIM	rare_genetic
Autosomal recessive polycystic kidney disease	731	D017044	MeSH	rare_genetic
Autosomal recessive polycystic kidney disease	731	C0085548	UMLS	rare_genetic
Autosomal recessive polycystic kidney disease	731	10036047	MedDRA	rare_genetic
Autosomal recessive polycystic kidney disease	731	Q61.1	ICD-10	rare_genetic
CHARGE syndrome	138	214800	OMIM	rare_genetic
CHARGE syndrome	138	10064063	MedDRA	rare_genetic
CHARGE syndrome	138	Q87.8	ICD-10	rare_genetic
CHARGE syndrome	138	D058747	MeSH	rare_genetic
CHARGE syndrome	138	C0265354	UMLS	rare_genetic
Marfan syndrome	558	610168	OMIM	rare_genetic
